title,stars_in_movie
The Last Legion,Ben Kingsley
Saving Private Ryan,"Matt Damon, Tom Hanks"
Need for Speed,Michael Keaton
Lincoln,Joseph Gordon-Levitt
The Matrix,Carrie-Anne Moss
Apollo 13,Tom Hanks
Les Misérables,Hugh Jackman
You've Got Mail,Tom Hanks
Due Date,Robert Downey Jr.
Unbroken,Domhnall Gleeson
Mona Lisa Smile,Kirsten Dunst
The Dictator,Ben Kingsley
Eyes Wide Shut,Nicole Kidman
Annie,Cameron Diaz
Focus,"Will Smith, Margot Robbie"
This Means War,Tom Hardy
Blade: Trinity,Ryan Reynolds
Death Race,Jason Statham
The Long Kiss Goodnight,Samuel L. Jackson
Zathura: A Space Adventure,Josh Hutcherson
Fight Club,"Brad Pitt, Edward Norton"
Oliver Twist,Ben Kingsley
Elektra,Jennifer Garner
Sin City: A Dame to Kill For,Joseph Gordon-Levitt
Random Hearts,Harrison Ford
Everest,"Jake Gyllenhaal, Sam Worthington"
Austin Powers in Goldmember,"Michael Caine, Mike Myers"
Astro Boy,Samuel L. Jackson
Jurassic Park,"Samuel L. Jackson, Jeff Goldblum"
Clear and Present Danger,"Harrison Ford, Willem Dafoe"
Dragon Blade,Adrien Brody
The Love Guru,"Mariska Hargitay, Mike Myers, Ben Kingsley"
The Hateful Eight,"Channing Tatum, Samuel L. Jackson"
Blades of Glory,Amy Poehler
Meet the Fockers,Robert De Niro
The Green Mile,Tom Hanks
The Bourne Identity,Matt Damon
The Prince of Egypt,"Ralph Fiennes, Jeff Goldblum"
2 Guns,"Mark Wahlberg, Denzel Washington"
Cats & Dogs,"Tobey Maguire, Jeff Goldblum"
The Italian Job,"Jason Statham, Mark Wahlberg, Edward Norton"
Days of Thunder,Nicole Kidman
Any Given Sunday,"Al Pacino, Cameron Diaz"
The Horse Whisperer,Scarlett Johansson
Collateral,"Jason Statham, Mark Ruffalo"
The Scorpion King,Dwayne Johnson
Ladder 49,Joaquin Phoenix
Deep Blue Sea,Samuel L. Jackson
Contagion,Matt Damon
The Happening,Mark Wahlberg
Man on Fire,Denzel Washington
The Shaggy Dog,Robert Downey Jr.
Paycheck,Uma Thurman
The Tale of Despereaux,"Emma Watson, Sigourney Weaver, Matthew Broderick"
Joy,"Jennifer Lawrence, Robert De Niro"
Alien: Resurrection,"Winona Ryder, Sigourney Weaver"
Shooter,Mark Wahlberg
The Boxtrolls,Ben Kingsley
Practical Magic,Nicole Kidman
The Lego Movie,"Channing Tatum, Chris Pratt, Liam Neeson"
Reign of Fire,Christian Bale
Gangster Squad,"Ryan Gosling, Emma Stone"
Year One,Michael Cera
Invictus,Matt Damon
State of Play,Rachel McAdams
Planet 51,"Dwayne Johnson, Gary Oldman"
Star Trek: Nemesis,Tom Hardy
Intolerable Cruelty,George Clooney
Analyze That,Robert De Niro
Righteous Kill,"John Cena, Robert De Niro, Al Pacino"
The Soloist,"Robert Downey Jr., Tom Holland"
The Legend of Bagger Vance,"Will Smith, Matt Damon"
xXx: State of the Union,"Willem Dafoe, Samuel L. Jackson"
Sinbad: Legend of the Seven Seas,Brad Pitt
The Black Dahlia,Scarlett Johansson
The Last Castle,Mark Ruffalo
Winter's Tale,Will Smith
Meet Dave,Kevin Hart
The Spirit,"Scarlett Johansson, Samuel L. Jackson"
Mortdecai,"Johnny Depp, Ewan McGregor, Jeff Goldblum"
In the Name of the King: A Dungeon Siege Tale,Jason Statham
The Great Raid,Sam Worthington
Deadpool,"Ryan Reynolds, Morena Baccarin"
Holy Man,Jeff Goldblum
Just Like Heaven,Mark Ruffalo
Leatherheads,George Clooney
The Ridiculous 6,Adam Sandler
The Devil's Advocate,Al Pacino
That's My Boy,Adam Sandler
Captain Corelli's Mandolin,Christian Bale
Walking Tall,Dwayne Johnson
Forrest Gump,Tom Hanks
Meet the Parents,Robert De Niro
Pocahontas,Christian Bale
Superman,Marlon Brando
Hitch,Will Smith
Captain Phillips,Tom Hanks
Date Night,"Mark Wahlberg, Mark Ruffalo"
The Equalizer,Denzel Washington
Maid in Manhattan,Ralph Fiennes
Crimson Tide,"Denzel Washington, Viggo Mortensen"
The Pursuit of Happyness,Will Smith
Kill Bill: Vol. 1,Uma Thurman
Bowfinger,Robert Downey Jr.
Kill Bill: Vol. 2,"Samuel L. Jackson, Uma Thurman"
Death Becomes Her,Meryl Streep
Free Birds,Amy Poehler
Alien³,Sigourney Weaver
Ronin,Robert De Niro
Paddington,"Nicole Kidman, Will Smith"
Stuck on You,"Matt Damon, Meryl Streep"
The Fan,Robert De Niro
Elizabeth: The Golden Age,Tom Holland
Muppets Most Wanted,"Tom Holland, Christoph Waltz"
Thunderbirds,Ben Kingsley
Seven Pounds,Will Smith
The Godfather: Part III,Al Pacino
Elizabethtown,Kirsten Dunst
Gigli,Al Pacino
All the King's Men,Mark Ruffalo
Shaft,"Christian Bale, Samuel L. Jackson"
Anastasia,Kirsten Dunst
Moulin Rouge!,"Nicole Kidman, Ewan McGregor"
Black Mass,"Benedict Cumberbatch, Johnny Depp"
Lucky You,Robert Downey Jr.
Catch Me If You Can,"Leonardo DiCaprio, Tom Hanks, Jennifer Garner"
Zero Dark Thirty,Chris Pratt
Mamma Mia!,Meryl Streep
Valentine's Day,Jennifer Garner
The Thin Red Line,"George Clooney, Adrien Brody"
The Change-Up,Ryan Reynolds
Casino,Robert De Niro
Deck the Halls,Matthew Broderick
The Twilight Saga: New Moon,Robert Pattinson
Shrek,"Mike Myers, Cameron Diaz"
The Adjustment Bureau,"Matt Damon, Emily Blunt"
Ted,"Ryan Reynolds, Mark Wahlberg"
Anchorman 2: The Legend Continues,"Will Smith, Harrison Ford, Kirsten Dunst, Liam Neeson, Amy Poehler"
Mr. Deeds,"Adam Sandler, Winona Ryder"
22 Jump Street,Channing Tatum
Interview with the Vampire,"Brad Pitt, Kirsten Dunst"
Central Intelligence,"Dwayne Johnson, Kevin Hart"
Daddy's Home,"Mark Wahlberg, John Cena"
Into the Woods,"Meryl Streep, Emily Blunt, Johnny Depp"
Inside Man,"Denzel Washington, Willem Dafoe"
We Bought a Zoo,"Matt Damon, Scarlett Johansson"
Knowing,Liam Hemsworth
"Crazy, Stupid, Love.","Ryan Gosling, Emma Stone"
Moneyball,"Brad Pitt, Chris Pratt"
Non-Stop,"Liam Neeson, Lupita Nyong'o"
Race to Witch Mountain,Dwayne Johnson
V for Vendetta,Natalie Portman
Herbie Fully Loaded,Michael Keaton
Syriana,"George Clooney, Matt Damon"
The Book of Life,Channing Tatum
Firewall,Harrison Ford
G.I. Jane,Viggo Mortensen
The Negotiator,Samuel L. Jackson
The Judge,Robert Downey Jr.
The Peacemaker,"George Clooney, Nicole Kidman"
Out of Time,Denzel Washington
On Deadly Ground,Michael Caine
The Beach,Leonardo DiCaprio
Marmaduke,Emma Stone
Hereafter,Matt Damon
Murder by Numbers,Ryan Gosling
Basic,Samuel L. Jackson
The Life Aquatic with Steve Zissou,"Willem Dafoe, Jeff Goldblum"
Run All Night,"John Cena, Liam Neeson"
Eastern Promises,Viggo Mortensen
Your Highness,Natalie Portman
The Scarlet Letter,Gary Oldman
Death to Smoochy,Edward Norton
Zoolander 2,Benedict Cumberbatch
What Planet Are You From?,Ben Kingsley
The One,Jason Statham
Indiana Jones and the Last Crusade,Harrison Ford
Anna Karenina,Domhnall Gleeson
Chappie,"Hugh Jackman, Sigourney Weaver"
The Bone Collector,Denzel Washington
Panic Room,Nicole Kidman
Three Kings,"George Clooney, Mark Wahlberg"
Child 44,"Tom Hardy, Gary Oldman"
Kate & Leopold,Hugh Jackman
3:10 to Yuma,Christian Bale
Taken 3,Liam Neeson
Out of Sight,"George Clooney, Samuel L. Jackson, Michael Keaton"
The Cable Guy,Matthew Broderick
Dick Tracy,Al Pacino
Happily N'Ever After,Sigourney Weaver
My Best Friend's Wedding,Cameron Diaz
Insomnia,Al Pacino
Courage Under Fire,"Matt Damon, Denzel Washington"
Taken 2,Liam Neeson
Scary Movie 3,Kevin Hart
