tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title,url,release_date,critic_score,audience_score
tt0006408,movie,The Beast,the beast,0,1916.0,,50.0,"Comedy,Drama,Romance",the beast,https://www.rottentomatoes.com/m/the_beast,2011,,
tt0006433,movie,Black Friday,black friday,0,1916.0,,50.0,"Drama,History",black friday,https://www.rottentomatoes.com/m/black_friday,"Released Apr 12, 1940",100%,52%
tt0006496,movie,The Challenge,the challenge,0,1916.0,,50.0,Drama,the challenge,https://www.rottentomatoes.com/m/the_challenge,2003,,60%
tt0006496,movie,The Challenge,the challenge,0,1916.0,,50.0,Drama,the challenge,https://www.rottentomatoes.com/m/challenge,2005,,35%
tt0006580,movie,The Deserter,the deserter,0,1916.0,,50.0,"Adventure,Western",the deserter,https://www.rottentomatoes.com/m/the_deserter,2008,,
tt0006580,movie,The Deserter,the deserter,0,1916.0,,50.0,"Adventure,Western",the deserter,https://www.rottentomatoes.com/m/deserter,1971,,
tt0006581,movie,Desperation,driven,0,1916.0,,,Drama,driven,https://www.rottentomatoes.com/m/driven,"Released Aug 16, 2019",64%,62%
tt0006588,movie,The Devil's Double,the devil's double,0,1916.0,,50.0,Western,the devil's double,https://www.rottentomatoes.com/m/the_devils_double,"Released Jul 29, 2011",55%,64%
tt0006588,movie,The Devil's Double,the devil's double,0,1916.0,,50.0,Western,the devil's double,https://www.rottentomatoes.com/m/devils_double,"Released Jul 29, 2011",55%,64%
tt0006866,movie,Iris,iris,0,1916.0,,,"Drama,Romance",iris,https://www.rottentomatoes.com/m/iris,2004,,
tt0006867,movie,The Iron Claw,the iron claw,0,1916.0,,,"Action,Adventure",the iron claw,https://www.rottentomatoes.com/m/the_iron_claw,"Released Feb 28, 1916",100%,100%
tt0006895,movie,King Lear,king lear,0,1916.0,,63.0,Drama,king lear,https://www.rottentomatoes.com/m/king_lear,2018,,
tt0006900,movie,The Kiss,the kiss,0,1916.0,,50.0,"Comedy,Drama",the kiss,https://www.rottentomatoes.com/m/the_kiss,2008,,
tt0006995,movie,Macbeth,macbeth,0,1916.0,,80.0,"Drama,History",macbeth,https://www.rottentomatoes.com/m/macbeth,1954,,
tt0006995,movie,Macbeth,macbeth,0,1916.0,,80.0,"Drama,History",macbeth,https://www.rottentomatoes.com/m/the_tragedy_of_macbeth,"Released Dec 15, 1971",80%,73%
tt0006996,movie,Macbeth,macbeth,0,1915.0,,55.0,,macbeth,https://www.rottentomatoes.com/m/macbeth,1954,,
tt0006996,movie,Macbeth,macbeth,0,1915.0,,55.0,,macbeth,https://www.rottentomatoes.com/m/the_tragedy_of_macbeth,"Released Dec 15, 1971",80%,73%
tt0007097,movie,Motherhood,motherhood,0,1917.0,,50.0,Drama,motherhood,https://www.rottentomatoes.com/m/motherhood,"Released Oct 23, 2009",20%,16%
tt0007120,movie,The Net,the net,0,1916.0,,59.0,"Crime,Drama",the net,https://www.rottentomatoes.com/m/the_net,"Released Nov 5, 1953",,
tt0007120,movie,The Net,the net,0,1916.0,,59.0,"Crime,Drama",the net,https://www.rottentomatoes.com/m/net,1995,43%,44%
tt0007142,movie,Oliver Twist,oliver twist,0,1916.0,,50.0,Drama,oliver twist,https://www.rottentomatoes.com/m/oliver_twist,1983,,
tt0007142,movie,Oliver Twist,oliver twist,0,1916.0,,50.0,Drama,oliver twist,https://www.rottentomatoes.com/m/oliver_twist,1983,,
tt0007149,movie,The Other Side of the Door,the other side of the door,0,1916.0,,,Romance,the other side of the door,https://www.rottentomatoes.com/m/the_other_side_of_the_door,"Released Mar 4, 2016",36%,29%
tt0007160,movie,The Patriot,the patriot,0,1916.0,,50.0,Western,the patriot,https://www.rottentomatoes.com/m/the_patriot,"Released Aug 17, 1928",100%,58%
tt0007160,movie,The Patriot,the patriot,0,1916.0,,50.0,Western,the patriot,https://www.rottentomatoes.com/m/patriot,"Released Jul 25, 1986",,0%
tt0007160,movie,The Patriot,the patriot,0,1916.0,,50.0,Western,the patriot,https://www.rottentomatoes.com/m/the_patriot,"Released Aug 17, 1928",100%,58%
tt0007160,movie,The Patriot,the patriot,0,1916.0,,50.0,Western,the patriot,https://www.rottentomatoes.com/m/patriot,"Released Jul 25, 1986",,0%
tt0007190,movie,Playing with Fire,playing with fire,0,1916.0,,50.0,Drama,playing with fire,https://www.rottentomatoes.com/m/playing_with_fire,2008,,50%
tt0007205,movie,Powder,powder,0,1916.0,,,"Drama,War",powder,https://www.rottentomatoes.com/m/powder,1995,50%,69%
tt0007255,movie,Redeeming Love,redeeming love,0,1916.0,,50.0,Drama,redeeming love,https://www.rottentomatoes.com/m/redeeming_love,"Released Jan 21, 2022",11%,95%
tt0007271,movie,Romeo and Juliet,romeo and juliet,0,1916.0,,70.0,Drama,romeo and juliet,https://www.rottentomatoes.com/m/romeo_and_juliet,2018,,
tt0007271,movie,Romeo and Juliet,romeo and juliet,0,1916.0,,70.0,Drama,romeo and juliet,https://www.rottentomatoes.com/m/romeo_and_juliet,2018,,
tt0007272,movie,Romeo and Juliet,romeo and juliet,0,1916.0,,80.0,"Drama,Romance",romeo and juliet,https://www.rottentomatoes.com/m/romeo_and_juliet,2018,,
tt0007272,movie,Romeo and Juliet,romeo and juliet,0,1916.0,,80.0,"Drama,Romance",romeo and juliet,https://www.rottentomatoes.com/m/romeo_and_juliet,2018,,
tt0007330,movie,She,she,0,1916.0,,,"Fantasy,Sci-Fi",she,https://www.rottentomatoes.com/m/she,1985,,24%
tt0007338,movie,Sherlock Holmes,sherlock holmes,0,1916.0,,116.0,"Crime,Mystery",sherlock holmes,https://www.rottentomatoes.com/m/sherlock_holmes,2011,,
tt0007338,movie,Sherlock Holmes,sherlock holmes,0,1916.0,,116.0,"Crime,Mystery",sherlock holmes,https://www.rottentomatoes.com/m/sherlock_holmes,2011,,
tt0007388,movie,The Spy,the spy,0,1917.0,,80.0,"Drama,Thriller,War",the spy,https://www.rottentomatoes.com/m/spy,1987,,
tt0007454,movie,The Three Musketeers,the three musketeers,0,1916.0,,63.0,Adventure,the three musketeers,https://www.rottentomatoes.com/m/the_three_musketeers,"Released Jun 1, 1992",,
tt0007454,movie,The Three Musketeers,the three musketeers,0,1916.0,,63.0,Adventure,the three musketeers,https://www.rottentomatoes.com/m/the_three_musketeers,"Released Jun 1, 1992",,
tt0007454,movie,The Three Musketeers,the three musketeers,0,1916.0,,63.0,Adventure,the three musketeers,https://www.rottentomatoes.com/m/the_three_musketeers,"Released Jun 1, 1992",,
tt0007514,movie,Vice Versa,vice versa,0,1916.0,,,"Comedy,Fantasy",vice versa,https://www.rottentomatoes.com/m/vice_versa,1947,,40%
tt0007574,movie,The Witch,the witch,0,1916.0,,50.0,Drama,the witch,https://www.rottentomatoes.com/m/the_witch,1906,,
tt0007805,movie,The Clock,the clock,0,1917.0,,50.0,Comedy,the clock,https://www.rottentomatoes.com/m/clock,"Released May 25, 1945",100%,83%
tt0007867,movie,A Doll's House,a doll's house,0,1917.0,,50.0,Drama,a doll's house,https://www.rottentomatoes.com/m/a_dolls_house,"Released Feb 12, 1922",,
tt0007867,movie,A Doll's House,a doll's house,0,1917.0,,50.0,Drama,a doll's house,https://www.rottentomatoes.com/m/a_dolls_house,"Released Feb 12, 1922",,
tt0007873,movie,Down to Earth,down to earth,0,1917.0,,71.0,"Comedy,Romance",down to earth,https://www.rottentomatoes.com/m/down_to_earth,1917,,
tt0007879,movie,Easy Money,easy money,0,1917.0,,50.0,Drama,easy money,https://www.rottentomatoes.com/m/easy_money,2018,,
tt0007895,movie,Envy,envy,0,1917.0,,50.0,Drama,envy,https://www.rottentomatoes.com/m/envy,2002,,15%
tt0007943,movie,Fighting Mad,fighting mad,0,1917.0,,50.0,"Drama,Western",fighting mad,https://www.rottentomatoes.com/m/fighting_mad,"Released Nov 15, 1978",,
tt0008015,movie,Glory,glory,0,1917.0,,,"Comedy,Drama",glory,https://www.rottentomatoes.com/m/glory,1956,,
tt0008029,movie,Great Expectations,great expectations,0,1917.0,,50.0,Drama,great expectations,https://www.rottentomatoes.com/m/great_expectations,1989,,
tt0008029,movie,Great Expectations,great expectations,0,1917.0,,50.0,Drama,great expectations,https://www.rottentomatoes.com/m/great_expectations,1989,,
tt0008041,movie,The Hand That Rocks the Cradle,the hand that rocks the cradle,0,1917.0,,60.0,Drama,the hand that rocks the cradle,https://www.rottentomatoes.com/m/the_hand_that_rocks_the_cradle,"Released Jan 10, 1992",66%,61%
tt0008041,movie,The Hand That Rocks the Cradle,the hand that rocks the cradle,0,1917.0,,60.0,Drama,the hand that rocks the cradle,https://www.rottentomatoes.com/m/hand_that_rocks_the_cradle,"Released Jan 10, 1992",66%,61%
tt0008123,movie,House of Cards,house of cards,0,1917.0,,,Drama,house of cards,https://www.rottentomatoes.com/m/house_of_cards,1968,,
tt0008144,movie,Jack and the Beanstalk,jack and the beanstalk,0,1917.0,,100.0,Fantasy,jack and the beanstalk,https://www.rottentomatoes.com/m/jack_and_the_beanstalk,1974,,72%
tt0008196,movie,A Little Princess,a little princess,0,1917.0,,62.0,Drama,a little princess,https://www.rottentomatoes.com/m/a_little_princess,1986,,100%
tt0008222,movie,Love Letters,love letters,0,1917.0,,50.0,"Drama,Mystery",love letters,https://www.rottentomatoes.com/m/love_letters,2001,,
tt0008246,movie,Magic,magic,0,1917.0,,,,magic,https://www.rottentomatoes.com/m/magic,"Released Nov 8, 1978",87%,64%
tt0008290,movie,The Midnight Man,the midnight man,0,1917.0,,50.0,"Crime,Drama",the midnight man,https://www.rottentomatoes.com/m/the_midnight_man,1974,,
tt0008455,movie,Pride,pride,0,1917.0,,50.0,Drama,pride,https://www.rottentomatoes.com/m/pride,"Released Mar 23, 2007",47%,72%
tt0008508,movie,The Rescue,the rescue,0,1917.0,,50.0,Drama,the rescue,https://www.rottentomatoes.com/m/the_rescue,1971,,
tt0008508,movie,The Rescue,the rescue,0,1917.0,,50.0,Drama,the rescue,https://www.rottentomatoes.com/m/rescue,"Released Aug 5, 1988",,68%
tt0008540,movie,Scandal,scandal,0,1917.0,,60.0,"Comedy,Romance",scandal,https://www.rottentomatoes.com/m/scandal,1982,,
tt0008543,movie,The Scarlet Letter,the scarlet letter,0,1917.0,,50.0,Drama,the scarlet letter,https://www.rottentomatoes.com/m/the_scarlet_letter,2015,,
tt0008543,movie,The Scarlet Letter,the scarlet letter,0,1917.0,,50.0,Drama,the scarlet letter,https://www.rottentomatoes.com/m/scarlet_letter,1979,,36%
tt0008544,movie,The Scarlet Pimpernel,the scarlet pimpernel,0,1917.0,,50.0,Adventure,the scarlet pimpernel,https://www.rottentomatoes.com/m/the_scarlet_pimpernel,1999,,
tt0008565,movie,She,she,0,1917.0,,50.0,"Drama,Fantasy,Sci-Fi",she,https://www.rottentomatoes.com/m/she,1985,,24%
tt0008687,movie,Tom Sawyer,tom sawyer,0,1917.0,,59.0,"Adventure,Comedy,Drama",tom sawyer,https://www.rottentomatoes.com/m/tom_sawyer,1973,,
tt0008836,movie,Anna Karenina,anna karenina,0,1918.0,,53.0,Drama,anna karenina,https://www.rottentomatoes.com/m/anna_karenina,1967,,70%
tt0008836,movie,Anna Karenina,anna karenina,0,1918.0,,53.0,Drama,anna karenina,https://www.rottentomatoes.com/m/anna_karenina,1967,,70%
tt0008857,movie,The Awakening,the awakening,0,1917.0,,50.0,Drama,the awakening,https://www.rottentomatoes.com/m/the_awakening,1995,,43%
tt0008891,movie,The Blue Bird,the blue bird,0,1918.0,,75.0,"Family,Fantasy",the blue bird,https://www.rottentomatoes.com/m/the_blue_bird,2008,,
tt0008950,movie,Carmen,carmen,0,1918.0,,80.0,Drama,carmen,https://www.rottentomatoes.com/m/carmen,"Released Nov 1, 1915",78%,
tt0008950,movie,Carmen,carmen,0,1918.0,,80.0,Drama,carmen,https://www.rottentomatoes.com/m/carmen,"Released Nov 1, 1915",78%,
tt0008965,movie,The Claim,the claim,0,1918.0,,50.0,Drama,the claim,https://www.rottentomatoes.com/m/claim,"Released Dec 29, 2000",62%,48%
tt0009020,movie,A Doll's House,a doll's house,0,1918.0,,50.0,Drama,a doll's house,https://www.rottentomatoes.com/m/a_dolls_house,"Released Feb 12, 1922",,
tt0009020,movie,A Doll's House,a doll's house,0,1918.0,,50.0,Drama,a doll's house,https://www.rottentomatoes.com/m/a_dolls_house,"Released Feb 12, 1922",,
tt0009030,movie,The Eagle,the eagle,0,1918.0,,50.0,"Crime,Thriller,Western",the eagle,https://www.rottentomatoes.com/m/eagle,1925,83%,71%
tt0009205,movie,The House of Mirth,the house of mirth,0,1918.0,,60.0,Drama,the house of mirth,https://www.rottentomatoes.com/m/house_of_mirth,"Released Sep 23, 2000",82%,72%
tt0009265,movie,Kiss or Kill,kiss or kill,0,1918.0,,50.0,"Crime,Drama",kiss or kill,https://www.rottentomatoes.com/m/kiss_or_kill,1997,83%,76%
tt0009295,movie,The Lie,the lie,0,1918.0,,50.0,Drama,the lie,https://www.rottentomatoes.com/m/the_lie,"Released Nov 18, 2011",74%,48%
tt0009309,movie,Little Women,little women,0,1918.0,,60.0,"Drama,Family,Romance",little women,https://www.rottentomatoes.com/m/little_women,1958,,
tt0009309,movie,Little Women,little women,0,1918.0,,60.0,"Drama,Family,Romance",little women,https://www.rottentomatoes.com/m/little_women,1958,,
tt0009358,movie,The Mask,the mask,0,1918.0,,50.0,"Comedy,Drama",the mask,https://www.rottentomatoes.com/m/the_mask,1961,67%,
tt0009358,movie,The Mask,the mask,0,1918.0,,50.0,"Comedy,Drama",the mask,https://www.rottentomatoes.com/m/the_mask,1961,67%,
tt0009371,movie,Midnight Madness,midnight madness,0,1918.0,,50.0,Mystery,midnight madness,https://www.rottentomatoes.com/m/midnight_madness,"Released Feb 8, 1980",,70%
tt0009382,movie,Missing,missing,0,1918.0,,50.0,"Drama,War",missing,https://www.rottentomatoes.com/m/missing,2006,,56%
tt0009382,movie,Missing,missing,0,1918.0,,50.0,"Drama,War",missing,https://www.rottentomatoes.com/m/missing,2006,,56%
tt0009382,movie,Missing,missing,0,1918.0,,50.0,"Drama,War",missing,https://www.rottentomatoes.com/m/missing,2006,,56%
tt0009424,movie,Neighbors,neighbors,0,1918.0,,50.0,"Comedy,Drama",neighbors,https://www.rottentomatoes.com/m/neighbors,1971,,
tt0009424,movie,Neighbors,neighbors,0,1918.0,,50.0,"Comedy,Drama",neighbors,https://www.rottentomatoes.com/m/neighbors,1971,,
tt0009429,movie,No Man's Land,no man's land,0,1918.0,,50.0,"Drama,War",no man's land,https://www.rottentomatoes.com/m/no_mans_land,"Released Dec 21, 2001",93%,92%
tt0009429,movie,No Man's Land,no man's land,0,1918.0,,50.0,"Drama,War",no man's land,https://www.rottentomatoes.com/m/no_mans_land,"Released Dec 21, 2001",93%,92%
tt0009429,movie,No Man's Land,no man's land,0,1918.0,,50.0,"Drama,War",no man's land,https://www.rottentomatoes.com/m/no_mans_land,"Released Dec 21, 2001",93%,92%
