title,stars_in_movie,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross,rank,release_date,production_budget
Jaws,,97.0,90.0,"Oscars - FILM EDITING(Won)
Oscars - MUSIC (Original Score)(Won)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND(Won)
BAFTAs - Film | Direction in 1976(Nominated)
BAFTAs - Film | Film in 1976(Nominated)
BAFTAs - Film | Film Editing in 1976(Nominated)
BAFTAs - Film | Screenplay in 1976(Nominated)
BAFTAs - Film | Soundtrack in 1976(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Won)",13,4,"Oscars - FILM EDITING(Won)
Oscars - MUSIC (Original Score)(Won)
Oscars - SOUND(Won)
Golden Globes - Best Original Score - Motion Picture(Won)","Oscars - BEST PICTURE(Nominated)
BAFTAs - Film | Direction in 1976(Nominated)
BAFTAs - Film | Film in 1976(Nominated)
BAFTAs - Film | Film Editing in 1976(Nominated)
BAFTAs - Film | Screenplay in 1976(Nominated)
BAFTAs - Film | Soundtrack in 1976(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",484351938.0,"3,821","Jun 20, 1975","$12,000,000"
The Return of the Pink Panther,,86.0,82.0,,0,0,,,41833424.0,"4,902","May 16, 1975","$5,000,000"
The Rocky Horror Picture Show,,80.0,85.0,,0,0,,,115619948.0,"5,925","Sep 26, 1975","$1,200,000"
The Stepford Wives,"Nicole Kidman, Matthew Broderick",26.0,30.0,,0,0,,,96150482.0,505,"Jun 11, 2004","$100,000,000"
Love and Death,,100.0,90.0,,0,0,,,20123742.0,"5,376","Jun 10, 1975","$3,000,000"
Bug,,61.0,34.0,,0,0,,,,"5,183","May 25, 2007","$4,000,000"
Rollerball,,67.0,62.0,"BAFTAs - Film | Art Direction in 1976(Won)
BAFTAs - Film | Cinematography in 1976(Nominated)
BAFTAs - Film | Film Editing in 1976(Nominated)
BAFTAs - Film | Soundtrack in 1976(Nominated)",4,1,BAFTAs - Film | Art Direction in 1976(Won),"BAFTAs - Film | Cinematography in 1976(Nominated)
BAFTAs - Film | Film Editing in 1976(Nominated)
BAFTAs - Film | Soundtrack in 1976(Nominated)",30000000.0,922,"Feb 8, 2002","$70,000,000"
Overlord,,89.0,73.0,,0,0,,,39178189.0,"1,854","Nov 3, 2018","$38,000,000"
Barry Lyndon,,87.0,92.0,"Oscars - ART DIRECTION(Won)
Oscars - CINEMATOGRAPHY(Won)
Oscars - COSTUME DESIGN(Won)
Oscars - DIRECTING(Nominated)
Oscars - MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation)(Won)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Screenplay Adapted from Other Material)(Nominated)
BAFTAs - Film | Art Direction in 1976(Nominated)
BAFTAs - Film | Cinematography in 1976(Won)
BAFTAs - Film | Costume Design in 1976(Nominated)
BAFTAs - Film | Direction in 1976(Won)
BAFTAs - Film | Film in 1976(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)",14,6,"Oscars - ART DIRECTION(Won)
Oscars - CINEMATOGRAPHY(Won)
Oscars - COSTUME DESIGN(Won)
Oscars - MUSIC (Scoring: Original Song Score and Adaptation -or- Scoring: Adaptation)(Won)
BAFTAs - Film | Cinematography in 1976(Won)
BAFTAs - Film | Direction in 1976(Won)","Oscars - DIRECTING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Screenplay Adapted from Other Material)(Nominated)
BAFTAs - Film | Art Direction in 1976(Nominated)
BAFTAs - Film | Costume Design in 1976(Nominated)
BAFTAs - Film | Film in 1976(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)",20221274.0,"3,989",1975,"$11,000,000"
Killer Elite,"Jason Statham, Robert De Niro",28.0,42.0,,0,0,,,65409046.0,919,"Sep 23, 2011","$70,000,000"
Snow White and the Seven Dwarfs,,97.0,78.0,"Oscars - MUSIC (Scoring)(Nominated)
Oscars - SPECIAL AWARD(Won)",2,1,Oscars - SPECIAL AWARD(Won),Oscars - MUSIC (Scoring)(Nominated),187171725.0,"5,879","Dec 21, 1937","$1,488,000"
King Kong,Adrien Brody,84.0,50.0,"Oscars - CINEMATOGRAPHY(Nominated)
Oscars - SOUND(Nominated)
Oscars - SPECIAL ACHIEVEMENT AWARD (Visual Effects)(Won)
Oscars - ART DIRECTION(Nominated)
Oscars - SOUND EDITING(Won)
Oscars - SOUND MIXING(Won)
Oscars - VISUAL EFFECTS(Won)
BAFTAs - Film | Production Design in 1977(Nominated)",8,4,"Oscars - SPECIAL ACHIEVEMENT AWARD (Visual Effects)(Won)
Oscars - SOUND EDITING(Won)
Oscars - SOUND MIXING(Won)
Oscars - VISUAL EFFECTS(Won)","Oscars - CINEMATOGRAPHY(Nominated)
Oscars - SOUND(Nominated)
Oscars - ART DIRECTION(Nominated)
BAFTAs - Film | Production Design in 1977(Nominated)",556906378.0,57,"Dec 14, 2005","$207,000,000"
King Kong,Adrien Brody,84.0,50.0,"Oscars - CINEMATOGRAPHY(Nominated)
Oscars - SOUND(Nominated)
Oscars - SPECIAL ACHIEVEMENT AWARD (Visual Effects)(Won)
Oscars - ART DIRECTION(Nominated)
Oscars - SOUND EDITING(Won)
Oscars - SOUND MIXING(Won)
Oscars - VISUAL EFFECTS(Won)
BAFTAs - Film | Production Design in 1977(Nominated)",8,4,"Oscars - SPECIAL ACHIEVEMENT AWARD (Visual Effects)(Won)
Oscars - SOUND EDITING(Won)
Oscars - SOUND MIXING(Won)
Oscars - VISUAL EFFECTS(Won)","Oscars - CINEMATOGRAPHY(Nominated)
Oscars - SOUND(Nominated)
Oscars - ART DIRECTION(Nominated)
BAFTAs - Film | Production Design in 1977(Nominated)",556906378.0,"2,735","Dec 17, 1976","$23,000,000"
The Omen,,26.0,40.0,"Oscars - MUSIC (Original Score)(Won)
Oscars - MUSIC (Original Song)(Nominated)",2,1,Oscars - MUSIC (Original Score)(Won),Oscars - MUSIC (Original Song)(Nominated),119295584.0,"2,533","Jun 6, 2006","$25,000,000"
The Omen,,26.0,40.0,"Oscars - MUSIC (Original Score)(Won)
Oscars - MUSIC (Original Song)(Nominated)",2,1,Oscars - MUSIC (Original Score)(Won),Oscars - MUSIC (Original Song)(Nominated),119295584.0,"5,500","Jun 25, 1976","$2,800,000"
Midway,,41.0,71.0,,0,0,,,126787360.0,508,"Nov 7, 2019","$100,000,000"
Taxi Driver,Robert De Niro,89.0,93.0,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - BEST PICTURE(Nominated)
BAFTAs - Film | Anthony Asquith Memorial Award in 1977(Won)
BAFTAs - Film | Direction in 1977(Nominated)
BAFTAs - Film | Film in 1977(Nominated)
BAFTAs - Film | Film Editing in 1977(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",10,1,BAFTAs - Film | Anthony Asquith Memorial Award in 1977(Won),"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - BEST PICTURE(Nominated)
BAFTAs - Film | Direction in 1977(Nominated)
BAFTAs - Film | Film in 1977(Nominated)
BAFTAs - Film | Film Editing in 1977(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",28507510.0,"5,753","Feb 8, 1976","$1,900,000"
Robin and Marian,,73.0,53.0,,0,0,,,,"4,967","Mar 11, 1976","$5,000,000"
Family Plot,,93.0,62.0,Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated),,"5,389","Apr 9, 1976","$3,000,000"
Premonition,,8.0,50.0,,0,0,,,84146832.0,"2,910","Mar 16, 2007","$20,000,000"
Silent Movie,,79.0,72.0,"Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)",4,0,,"Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)",36145695.0,"5,131","Jun 25, 1976","$4,400,000"
The Killer Inside Me,,56.0,40.0,,0,0,,,,"3,787","Jun 18, 2010","$13,000,000"
Up,,98.0,90.0,"Oscars - SHORT FILM (Live Action)(Won)
Oscars - ANIMATED FEATURE FILM(Won)
Oscars - MUSIC (Original Score)(Won)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND EDITING(Nominated)
Oscars - WRITING (Original Screenplay)(Nominated)
Golden Globes - Best Motion Picture - Animated(Won)
Golden Globes - Best Original Score - Motion Picture(Won)",8,5,"Oscars - SHORT FILM (Live Action)(Won)
Oscars - ANIMATED FEATURE FILM(Won)
Oscars - MUSIC (Original Score)(Won)
Golden Globes - Best Motion Picture - Animated(Won)
Golden Globes - Best Original Score - Motion Picture(Won)","Oscars - BEST PICTURE(Nominated)
Oscars - SOUND EDITING(Nominated)
Oscars - WRITING (Original Screenplay)(Nominated)",731463377.0,161,"May 28, 2009","$175,000,000"
Carrie,,50.0,44.0,"Oscars - ART DIRECTION (Black-and-White)(Nominated)
Oscars - COSTUME DESIGN (Black-and-White)(Nominated)
Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
BAFTAs - Film | Film From Any Source in 1953(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",6,0,,"Oscars - ART DIRECTION (Black-and-White)(Nominated)
Oscars - COSTUME DESIGN (Black-and-White)(Nominated)
Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
BAFTAs - Film | Film From Any Source in 1953(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",82409520.0,"2,231","Oct 18, 2013","$30,000,000"
Carrie,,50.0,44.0,"Oscars - ART DIRECTION (Black-and-White)(Nominated)
Oscars - COSTUME DESIGN (Black-and-White)(Nominated)
Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
BAFTAs - Film | Film From Any Source in 1953(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",6,0,,"Oscars - ART DIRECTION (Black-and-White)(Nominated)
Oscars - COSTUME DESIGN (Black-and-White)(Nominated)
Oscars - ACTRESS IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
BAFTAs - Film | Film From Any Source in 1953(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",82409520.0,"5,767","Nov 16, 1976","$1,800,000"
Network,,91.0,93.0,"Oscars - ACTOR IN A LEADING ROLE(Won)
Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS IN A LEADING ROLE(Won)
Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced)(Won)
BAFTAs - Film | Direction in 1978(Nominated)
BAFTAs - Film | Film in 1978(Nominated)
BAFTAs - Film | Film Editing in 1978(Nominated)
BAFTAs - Film | Screenplay in 1978(Nominated)
BAFTAs - Film | Soundtrack in 1978(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Won)
Golden Globes - Best Director - Motion Picture(Won)
Golden Globes - Best Screenplay - Motion Picture(Won)",20,8,"Oscars - ACTOR IN A LEADING ROLE(Won)
Oscars - ACTRESS IN A LEADING ROLE(Won)
Oscars - ACTRESS IN A SUPPORTING ROLE(Won)
Oscars - WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced)(Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Won)
Golden Globes - Best Director - Motion Picture(Won)
Golden Globes - Best Screenplay - Motion Picture(Won)","Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
BAFTAs - Film | Direction in 1978(Nominated)
BAFTAs - Film | Film in 1978(Nominated)
BAFTAs - Film | Film Editing in 1978(Nominated)
BAFTAs - Film | Screenplay in 1978(Nominated)
BAFTAs - Film | Soundtrack in 1978(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)",23698846.0,"5,255",1976,"$3,800,000"
Freaky Friday,,88.0,58.0,,0,0,,,160822438.0,"2,456","Aug 6, 2003","$26,000,000"
Close Encounters of the Third Kind,,90.0,85.0,"Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - CINEMATOGRAPHY(Won)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - SOUND(Nominated)
Oscars - VISUAL EFFECTS(Nominated)
Oscars - SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing)(Won)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",13,2,"Oscars - CINEMATOGRAPHY(Won)
Oscars - SPECIAL ACHIEVEMENT AWARD (Sound Effects Editing)(Won)","Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - SOUND(Nominated)
Oscars - VISUAL EFFECTS(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",340800479.0,"2,862","Nov 16, 1977","$20,000,000"
The Deep,,42.0,38.0,"Oscars - SOUND(Nominated)
BAFTAs - Film | Cinematography in 1978(Nominated)",2,0,,"Oscars - SOUND(Nominated)
BAFTAs - Film | Cinematography in 1978(Nominated)",50681884.0,510,"Jun 17, 1977","$100,000,000"
The Spy Who Loved Me,,82.0,77.0,"Oscars - ART DIRECTION(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
BAFTAs - Film | Anthony Asquith Award for Original Film Music in 1978(Nominated)
BAFTAs - Film | Production Design in 1978(Nominated)",5,0,,"Oscars - ART DIRECTION(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - MUSIC (Original Song)(Nominated)
BAFTAs - Film | Anthony Asquith Award for Original Film Music in 1978(Nominated)
BAFTAs - Film | Production Design in 1978(Nominated)",185400000.0,"3,647","Jul 13, 1977","$14,000,000"
Annie Hall,"Sigourney Weaver, Jeff Goldblum",97.0,92.0,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTRESS IN A LEADING ROLE(Won)
Oscars - DIRECTING(Won)
Oscars - BEST PICTURE(Won)
Oscars - WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced)(Won)
BAFTAs - Film | Direction in 1978(Won)
BAFTAs - Film | Film in 1978(Won)
BAFTAs - Film | Film Editing in 1978(Won)
BAFTAs - Film | Screenplay in 1978(Won)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",14,9,"Oscars - ACTRESS IN A LEADING ROLE(Won)
Oscars - DIRECTING(Won)
Oscars - BEST PICTURE(Won)
Oscars - WRITING (Screenplay Written Directly for the Screen--based on factual material or on story material not previously published or produced)(Won)
BAFTAs - Film | Direction in 1978(Won)
BAFTAs - Film | Film in 1978(Won)
BAFTAs - Film | Film Editing in 1978(Won)
BAFTAs - Film | Screenplay in 1978(Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Won)","Oscars - ACTOR IN A LEADING ROLE(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",38252270.0,"5,151","Apr 20, 1977","$4,000,000"
The Sentinel,,35.0,41.0,,0,0,,,78080697.0,"1,117","Apr 21, 2006","$60,000,000"
Cinderella,,98.0,80.0,"Oscars - MUSIC (Scoring of a Musical Picture)(Nominated)
Oscars - MUSIC (Song)(Nominated)
Oscars - SOUND RECORDING(Nominated)
Oscars - COSTUME DESIGN(Nominated)
BAFTAs - Film | Costume Design in 2016(Nominated)",5,0,,"Oscars - MUSIC (Scoring of a Musical Picture)(Nominated)
Oscars - MUSIC (Song)(Nominated)
Oscars - SOUND RECORDING(Nominated)
Oscars - COSTUME DESIGN(Nominated)
BAFTAs - Film | Costume Design in 2016(Nominated)",542351353.0,544,"Mar 6, 2015","$95,000,000"
Cinderella,,98.0,80.0,"Oscars - MUSIC (Scoring of a Musical Picture)(Nominated)
Oscars - MUSIC (Song)(Nominated)
Oscars - SOUND RECORDING(Nominated)
Oscars - COSTUME DESIGN(Nominated)
BAFTAs - Film | Costume Design in 2016(Nominated)",5,0,,"Oscars - MUSIC (Scoring of a Musical Picture)(Nominated)
Oscars - MUSIC (Song)(Nominated)
Oscars - SOUND RECORDING(Nominated)
Oscars - COSTUME DESIGN(Nominated)
BAFTAs - Film | Costume Design in 2016(Nominated)",542351353.0,"5,491","Feb 15, 1950","$2,900,000"
Exorcist II: The Heretic,,11.0,13.0,,0,0,,,25011000.0,"3,660","Jun 17, 1977","$14,000,000"
"New York, New York",Robert De Niro,57.0,58.0,"BAFTAs - Film | Costume Design in 1978(Nominated)
BAFTAs - Film | Soundtrack in 1978(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",6,0,,"BAFTAs - Film | Costume Design in 1978(Nominated)
BAFTAs - Film | Soundtrack in 1978(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",,"3,669","Jun 22, 1977","$14,000,000"
The Hills Have Eyes,,52.0,58.0,,0,0,,,70355813.0,"3,298","Mar 10, 2006","$17,000,000"
Suspiria,,65.0,72.0,,0,0,,,,"3,074","Oct 12, 2018","$20,000,000"
The Yellow Handkerchief,,65.0,60.0,,0,0,,,,"3,425","Feb 26, 2010","$15,500,000"
Damnation Alley,,45.0,34.0,,0,0,,,,"3,335","Oct 21, 1977","$17,000,000"
The Hobbit: An Unexpected Journey,"Elijah Wood, Benedict Cumberbatch, Ian McKellen",64.0,83.0,"Oscars - MAKEUP AND HAIRSTYLING(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)
Oscars - VISUAL EFFECTS(Nominated)",3,0,,"Oscars - MAKEUP AND HAIRSTYLING(Nominated)
Oscars - PRODUCTION DESIGN(Nominated)
Oscars - VISUAL EFFECTS(Nominated)",1014938545.0,77,"Dec 11, 2012","$200,000,000"
High Anxiety,,75.0,67.0,"Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)",2,0,,"Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)",31063038.0,"5,329","Dec 23, 1977","$3,400,000"
Grease,,66.0,87.0,"Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",6,0,,"Oscars - MUSIC (Original Song)(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",394278547.0,"4,722","Jun 16, 1978","$6,000,000"
