title,critic_score,audience_score
Pink Flamingos,84.0,72.0
The Biscuit Eater,,100.0
The Biscuit Eater,,48.0
Fist of Fury 1991,,
The Concert for Bangladesh,,95.0
The Ten Commandments,,
Fritz the Cat,64.0,59.0
The Culpepper Cattle Company,,63.0
Buck and the Preacher,84.0,62.0
Vampire Circus,80.0,64.0
"Play It Again, Sam",97.0,89.0
The Great Northfield Minnesota Raid,73.0,44.0
Hammersmith Is Out,29.0,56.0
The Honkers,,
Carry on Matron,,64.0
The Possession of Joel Delaney,,36.0
Skyjacked,,26.0
Chato's Land,,57.0
Z.P.G.,,23.0
The Other,,
The Final Comedown,,36.0
The Final Comedown,,36.0
The War Between Men and Women,,31.0
A Day in the Death of Joe Egg,,70.0
Fillmore,,
Boxcar Bertha,56.0,33.0
The Strange Vengeance of Rosalie,,
One Is a Lonely Number,,38.0
The Assassination of Trotsky,,35.0
Shaft's Big Score!,58.0,46.0
Son of Blob,,21.0
Frenzy,91.0,78.0
The Groundstar Conspiracy,33.0,67.0
Ben,60.0,38.0
Prime Cut,71.0,72.0
The Candidate,,
The Candidate,89.0,74.0
"Come Back, Charleston Blue",,50.0
Conquest of the Planet of the Apes,52.0,46.0
Dr. Phibes Rises Again,59.0,57.0
Napoleon and Samantha,,44.0
Butterflies Are Free,69.0,80.0
"Now You See Him, Now You Don't",80.0,57.0
Fuzz,,17.0
Joe Kidd,80.0,54.0
The Wrath of God,,38.0
The Man,12.0,41.0
Man,,
The Thing With Two Heads,0.0,25.0
The Thing With Two Heads,0.0,25.0
The Big Bird Cage,100.0,63.0
The Big Bird Cage,100.0,63.0
Fat City,100.0,84.0
Night of the Lepus,0.0,27.0
Deliverance,89.0,82.0
The Magnificent Seven Ride!,,25.0
Junior Bonner,92.0,62.0
Kansas City Bomber,,37.0
The New Centurions,60.0,63.0
Superfly,93.0,70.0
Everything You Always Wanted to Know About Sex (But Were Afraid to Ask),88.0,69.0
"Snoopy, Come Home",93.0,84.0
And Now for Something Completely Different,88.0,87.0
To Kill a Clown,,20.0
Blacula,46.0,44.0
The Last House on the Left,43.0,52.0
Last House on the Left,65.0,50.0
Bluebeard,,70.0
Man of the East,,40.0
Slaughter,,
The Ruling Class,77.0,85.0
The Discreet Charm of the Bourgeoisie,98.0,88.0
The Discreet Charm of the Bourgeoisie,98.0,88.0
Cancel My Reservation,,22.0
Another Nice Mess,,
Sounder,91.0,77.0
Solaris,66.0,59.0
Dracula A.D. 1972,27.0,40.0
Hickey & Boggs,67.0,57.0
Bad Company,,
Dumbo,95.0,70.0
The King of Marvin Gardens,70.0,58.0
Last Tango in Paris,82.0,75.0
"Run, Cougar, Run",,
Play It as It Lays,50.0,53.0
When the Legends Die,,86.0
Lady Sings the Blues,71.0,86.0
Pancho Villa,,
Daughters of Satan,,21.0
Dirty Little Billy,,67.0
Trouble Man,14.0,65.0
Ulzana's Raid,90.0,67.0
1776,68.0,84.0
Asylum: Twisted Horror and Fantasy Tales,,56.0
The Mechanic,53.0,51.0
The Mechanic,53.0,51.0
Sisters,,
Black Gunn,,31.0
Rage,,
They Only Kill Their Masters,,29.0
"Brother Sun, Sister Moon",42.0,78.0
Horror Express,81.0,53.0
Sleuth,36.0,51.0
Child's Play,74.0,65.0
Man of La Mancha,53.0,71.0
The Getaway,,
Getaway,3.0,36.0
Avanti!,79.0,76.0
The Heartbreak Kid,29.0,37.0
The Heartbreak Kid,92.0,73.0
Pete 'n' Tillie,67.0,72.0
Travels With My Aunt,50.0,47.0
Daigoro vs. Goliath,,
Images,75.0,70.0
The Life and Times of Judge Roy Bean,80.0,74.0
Across 110th Street,83.0,78.0
The Effect of Gamma Rays on Man-in-the-Moon Marigolds,77.0,82.0
Hit Man,,45.0
Jeremiah Johnson,91.0,89.0
Snowball Express,,60.0
The Sword in the Stone,66.0,73.0
The Exorcist,78.0,87.0
The Exorcist,78.0,87.0
Sting,70.0,65.0
American Graffiti,95.0,84.0
Papillon,72.0,90.0
The Way We Were,64.0,81.0
The Way We Were,64.0,81.0
Magnum Force,67.0,78.0
Live and Let Die,67.0,64.0
Robin Hood,,
Paper Moon,90.0,94.0
Serpico,93.0,88.0
The Offence,71.0,72.0
"Black Mama, White Mama",,38.0
The Love Ban,,
Adolf Hitler: My Part in His Downfall,,18.0
Last Tango in Paris,82.0,75.0
Shamus,25.0,40.0
Steelyard Blues,50.0,31.0
The World's Greatest Athlete,,34.0
Wattstax,90.0,90.0
Black Caesar,64.0,63.0
The Train Robbers,33.0,58.0
The Train Robbers,33.0,58.0
The Harder They Come,91.0,82.0
The Creeping Flesh,83.0,52.0
Jory,,
Save the Tiger,86.0,74.0
Payday,56.0,78.0
Turkish Delight,86.0,80.0
Walking Tall,26.0,59.0
The Blood Brothers,,
Dynasty of Blood,,33.0
Charlotte's Web,79.0,62.0
The Thief Who Came to Dinner,,56.0
The Thief Who Came to Dinner,,56.0
Baxter,90.0,83.0
Slither,87.0,63.0
The Long Goodbye,,
Dolgie Provody,,100.0
Ludwig,33.0,89.0
Schlock,75.0,45.0
Vault of Horror,80.0,51.0
Tales From the Crypt Part II,,50.0
The Baby,,
Baby,,
Tom Sawyer,,
The Crazies,71.0,48.0
Forced Entry,,21.0
Lost Horizon,93.0,82.0
Two People,,
Godspell,63.0,71.0
Charley and the Angel,,33.0
Sisters,,
Black Snake (Sweet Suzy) (Dutchess of Doom),,31.0
Ace Eli and Rodger of the Skies,,
The Mack,60.0,85.0
The Mack,60.0,85.0
Theater of Blood,,81.0
Night Flight From Moscow,,62.0
Class of '44,,11.0
Book of Numbers,,
Khayal Maata,,
Rose of Iron,,47.0
Rose of Iron,,47.0
Tiffany Jones,,
The Candy Snatchers,83.0,60.0
The Candy Snatchers,83.0,60.0
Love and Pain (and the Whole Damn Thing),,65.0
Scorpio,59.0,40.0
Soylent Green,71.0,70.0
Ganja & Hess,93.0,53.0
Messiah of Evil,100.0,57.0
And Now the Screaming Starts,40.0,43.0
Guns of a Stranger,,
Billy Jack,63.0,63.0
Father Dear Father,,
Hitler: The Last Ten Days,38.0,55.0
Paper Moon,90.0,94.0
The Harrad Experiment,,12.0
Little Laura and Big John,,
Jeremy,,74.0
The Day of the Jackal,91.0,88.0
The Hireling,,56.0
Pat Garrett and Billy the Kid,57.0,82.0
Terror in the Wax Museum,,29.0
A Doll's House,,
Day for Night,98.0,91.0
The Blockhouse,,73.0
Little Cigars,,67.0
Cannibal Girls,,24.0
"Wicked, Wicked",,25.0
The Last of Sheila,90.0,84.0
The Last of Sheila,90.0,84.0
Battle for the Planet of the Apes,36.0,30.0
Idaho Transfer,,32.0
Interval,,
The Legend of Hell House,65.0,56.0
Coffy,79.0,75.0
Blume in Love,70.0,53.0
O Lucky Man!,81.0,87.0
One Little Indian,,38.0
Shaft in Africa,64.0,52.0
The Showdown,,
Live and Let Die,67.0,64.0
Forty Carats,,61.0
The Man Who Loved Cat Dancing,,47.0
The Man Who Loved Cat Dancing,,47.0
Belladonna of Sadness,90.0,75.0
Oklahoma Crude,,32.0
"Cahill, United States Marshal",,64.0
Blue Blood,,
Cleopatra Jones,80.0,44.0
Lady Ice,,18.0
Sssssss,30.0,26.0
Dillinger,,44.0
Badge 373,,33.0
The Mackintosh Man,58.0,44.0
The Mackintosh Man,58.0,44.0
The Last American Hero,75.0,52.0
The Last American Hero,75.0,52.0
The Boy Who Cried Werewolf,,65.0
The Boy Who Cried Werewolf,,22.0
The Naked Ape,,
The Naked Ape,,
Blackenstein,,10.0
The Neptune Factor,,15.0
Heavy Traffic,89.0,74.0
The Stone Killer,60.0,42.0
White Lightning,67.0,61.0
Gordon's War,60.0,47.0
Night Watch,44.0,67.0
American Graffiti,95.0,84.0
Cops and Robbers,,60.0
Romeo and Juliet,,
Westworld,84.0,70.0
Electra Glide in Blue,64.0,74.0
Enter the Dragon,88.0,91.0
High Plains Drifter,94.0,86.0
I Escaped From Devil's Island,,36.0
Chino,,36.0
The Pyx,,33.0
Santee,,22.0
Hit!,,59.0
The Spook Who Sat by the Door,75.0,83.0
The Spook Who Sat by the Door,75.0,83.0
Harry in Your Pocket,,47.0
The Slams,,29.0
From the Mixed-Up Files of Mrs. Basil E. Frankweiler,,41.0
Kid Blue,50.0,62.0
Mean Streets,94.0,84.0
The Last Days of Man on Earth,,39.0
Badlands,97.0,90.0
Don't Look Now,93.0,76.0
The Paper Chase,81.0,72.0
Charley Varrick,82.0,83.0
Night of the Laughing Dead,,64.0
The Outfit,80.0,73.0
The Outfit,,
The Way We Were,64.0,81.0
The Way We Were,64.0,81.0
"Summer Wishes, Winter Dreams",,19.0
Jonathan Livingston Seagull,8.0,61.0
The All-American Boy,,
Five on the Black Hand Side,,45.0
The Homecoming,,
Homecoming,0.0,33.0
The Iceman Cometh,,
That'll Be the Day,,56.0
Ash Wednesday,,
A Doll's House,,
Executive Action,60.0,57.0
Carry on Girls,,55.0
Robin Hood,,
The Don Is Dead,60.0,27.0
The Don Is Dead,60.0,27.0
Arnold,,65.0
Breezy,63.0,65.0
England Made Me,,
The Affair,,
Affair,,
Hex,,
Fly Me,,
The Holy Mountain,85.0,88.0
Andy Warhol's Frankenstein,88.0,56.0
Serpico,93.0,88.0
"Digby, the Biggest Dog in the World",,55.0
Fantastic Planet,91.0,87.0
Marco,,
The Wicker Man,15.0,17.0
The Wicker Man,15.0,17.0
Treasure Island,82.0,
The Three Musketeers,,
The Last Detail,87.0,87.0
My Name Is Nobody,100.0,84.0
Superdad,,36.0
The Seven-Ups,73.0,70.0
Hell up in Harlem,22.0,50.0
Papillon,72.0,90.0
Sleeper,100.0,81.0
Amarcord,87.0,90.0
Cinderella Liberty,56.0,62.0
The Day of the Dolphin,43.0,41.0
Willie Dynamite,,68.0
Alvin Purple,,43.0
The Laughing Policeman,,
The Laughing Policeman,56.0,48.0
The Deadly Trackers,,36.0
The Deadly Trackers,,36.0
Jimi Hendrix,,85.0
Sting,70.0,65.0
Magnum Force,67.0,78.0
The Exorcist,78.0,87.0
The Exorcist,78.0,87.0
Haeundae,,49.0
Blazing Saddles,89.0,91.0
The Towering Inferno,68.0,72.0
The Trial of Billy Jack,40.0,48.0
The Trial of Billy Jack,40.0,48.0
Young Frankenstein,95.0,92.0
Earthquake,44.0,36.0
"The Godfather, Part II",96.0,97.0
Airport 1975,30.0,38.0
The Life and Times of Grizzly Adams,,80.0
