title,critic_score,audience_score
Tyler Perry's Madea's Witness Protection,19.0,66.0
Magic Mike,78.0,60.0
Ted,,
A Burning Hot Summer,55.0,24.0
The Last Ride,,59.0
Neil Young Journeys,89.0,60.0
Take This Waltz,79.0,58.0
Unforgivable,,69.0
The Savages,90.0,75.0
Collaborator,73.0,61.0
Ice Age: Continental Drift,37.0,61.0
"Farewell, My Queen",93.0,56.0
The Imposter,,
Union Square,64.0,35.0
Shut Up and Play the Hits,86.0,84.0
The Dark Knight Rises,87.0,90.0
The Queen of Versailles,95.0,73.0
Iron Sky,41.0,37.0
Ruby Sparks,79.0,75.0
Step Up Revolution,41.0,68.0
Watch,,
Ai Weiwei: Never Sorry,98.0,87.0
Killer Joe,80.0,61.0
Searching for Sugar Man,95.0,92.0
Diary of a Wimpy Kid: Dog Days,52.0,63.0
Total Recall,82.0,79.0
360,,
Celeste and Jesse Forever,70.0,62.0
Hope Springs,25.0,27.0
The Bourne Legacy,56.0,58.0
The Campaign,66.0,51.0
2 Days in New York,67.0,42.0
The Odd Life of Timothy Green,36.0,67.0
Ek Tha Tiger,75.0,49.0
The Expendables 2,67.0,67.0
ParaNorman,89.0,72.0
Sparkle,78.0,
Compliance,89.0,60.0
Cosmopolis,67.0,31.0
Robot & Frank,86.0,75.0
Community Service the Movie,,
Hit and Run,,16.0
The Apparition,3.0,24.0
Apparition,,20.0
Premium Rush,75.0,60.0
Lawless,,
The Oogieloves in the Big Balloon Adventure,32.0,62.0
The Ambassador,71.0,75.0
Ambassador,,
The Possession,39.0,48.0
Possession,63.0,58.0
"For a Good Time, Call ...",57.0,53.0
The Cold Light of Day,4.0,29.0
Cold Light of Day,,24.0
The Words,24.0,49.0
Words,,
Anna Karenina,,70.0
Detropia,86.0,64.0
Resident Evil: Retribution,28.0,51.0
Finding Nemo,99.0,86.0
Arbitrage,87.0,62.0
Barfi!,80.0,86.0
The Master,,
Master,,64.0
Stolen,67.0,47.0
Dredd,80.0,72.0
End of Watch,85.0,86.0
House at the End of the Street,12.0,41.0
Trouble With the Curve,51.0,66.0
Diana Vreeland: The Eye Has to Travel,95.0,79.0
Head Games,88.0,77.0
The Perks of Being a Wallflower,85.0,89.0
The Perks of Being a Wallflower,85.0,89.0
Hotel Transylvania,44.0,72.0
Looper,93.0,82.0
Won't Back Down,35.0,61.0
The Waiting Room,60.0,56.0
Waiting Room,,
Pitch Perfect,82.0,83.0
Taken 2,22.0,52.0
It's Such a Beautiful Day,100.0,92.0
The Oranges,31.0,32.0
The Paperboy,,33.0
Here Comes the Boom,42.0,65.0
Seven Psychopaths,83.0,71.0
Sinister,,36.0
"3, 2, 1... Frankie Go Boom",45.0,41.0
Nobody Walks,41.0,23.0
Smashed,83.0,68.0
Smiley,,
Holy Motors,92.0,71.0
Alex Cross,11.0,47.0
Paranormal Activity 4,23.0,34.0
The Sessions,91.0,80.0
Sessions,,
The Girl,,
Girl,84.0,75.0
Chasing Mavericks,33.0,70.0
Cloud Atlas,66.0,66.0
Fun Size,25.0,47.0
Silent Hill: Revelation,8.0,35.0
Pusher,83.0,85.0
Flight,,
The Man With the Iron Fists,51.0,40.0
Amber Alert,,36.0
The Bay,76.0,43.0
The Details,47.0,34.0
Details,,
A Late Quartet,77.0,71.0
North Sea Texas,83.0,71.0
This Must Be the Place,66.0,58.0
Fire With Fire,,83.0
In Their Skin,45.0,17.0
Skyfall,92.0,86.0
As Long As I Live,90.0,67.0
The Twilight Saga: Breaking Dawn Part 2,49.0,70.0
Chasing Ice,96.0,85.0
Silver Linings Playbook,92.0,86.0
Life of Pi,86.0,84.0
Red Dawn,50.0,65.0
Rise of the Guardians,74.0,80.0
Nativity 2: Danger in the Manger!,36.0,50.0
Hitchcock,60.0,60.0
Collection,17.0,29.0
Killing Them Softly,74.0,44.0
Playing for Keeps,,57.0
Bad Kids Go to Hell,44.0,35.0
Cheerful Weather for the Wedding,37.0,27.0
Deadfall,,37.0
Dino Time,,37.0
The Fitzgerald Family Christmas,64.0,50.0
Heleno,46.0,55.0
Hyde Park on Hudson,37.0,31.0
Lay the Favorite,18.0,19.0
The Hobbit: An Unexpected Journey,64.0,83.0
The Guilt Trip,37.0,39.0
The Guilt Trip,37.0,39.0
"Monsters, Inc.",96.0,90.0
Zero Dark Thirty,91.0,80.0
Cirque du Soleil: Worlds Away,45.0,93.0
Jack Reacher,64.0,67.0
This Is 40,51.0,50.0
The Impossible,82.0,84.0
Django Unchained,87.0,92.0
Kin-Folks,,
West of Memphis,95.0,87.0
Quartet,,
Tabu,93.0,77.0
The Promised Land,,92.0
The Hunger Games: Catching Fire,90.0,89.0
Iron Man 3,79.0,78.0
Frozen,56.0,62.0
Despicable Me 2,75.0,85.0
Man of Steel,,
Gravity,,29.0
Monsters University,80.0,81.0
The Hobbit: The Desolation of Smaug,75.0,85.0
Fast & Furious 6,71.0,84.0
Oz the Great and Powerful,57.0,56.0
A Dark Truth,0.0,36.0
Texas Chainsaw,19.0,40.0
The Baytown Outlaws,23.0,54.0
A Haunted House,10.0,51.0
Struck by Lightning,,
Broken City,27.0,40.0
The Last Stand,,
Last Stand,,
Luv,,39.0
Mama,,
Officer Down,,26.0
Hansel & Gretel: Witch Hunters,16.0,53.0
John Dies at the End,59.0,54.0
Knife Fight,28.0,27.0
Movie 43,5.0,24.0
Parker,,
Supporting Characters,86.0,63.0
Bullet to the Head,45.0,39.0
The Haunting in Connecticut 2: Ghosts of Georgia,19.0,44.0
Sound City,100.0,90.0
Stand Up Guys,37.0,46.0
Warm Bodies,81.0,73.0
A Glimpse Inside the Mind of Charles Swan III,16.0,25.0
Identity Thief,19.0,53.0
Side Effects,11.0,30.0
Beautiful Creatures,38.0,33.0
A Good Day to Die Hard,15.0,40.0
Safe Haven,13.0,67.0
Escape From Planet Earth,,
"Bless Me, Ultima",68.0,73.0
Dark Skies,,
To the Wonder,47.0,37.0
21 and Over,27.0,46.0
Jack the Giant Slayer,52.0,55.0
The Last Exorcism Part II,15.0,26.0
Phantom,,
The Stoker,,
Dead Man Down,41.0,47.0
Emperor,,
Oz the Great and Powerful,57.0,56.0
The Call,,
Call,,
The Incredible Burt Wonderstone,37.0,33.0
Spring Breakers,68.0,38.0
Admission,37.0,32.0
The Croods,72.0,77.0
InAPPropriate Comedy,0.0,22.0
Love and Honor,81.0,84.0
Olympus Has Fallen,50.0,66.0
Phil Spector,51.0,32.0
Trance,,
G.I. Joe: Retaliation,29.0,48.0
The Host,10.0,50.0
The Host,93.0,72.0
The Place Beyond the Pines,78.0,75.0
Tyler Perry's Temptation: Confessions of a Marriage Counselor,21.0,66.0
The Brass Teapot,31.0,51.0
The Evil Dead,86.0,84.0
Jurassic Park,92.0,91.0
Upstream Color,87.0,69.0
'42,,
Disconnect,,42.0
It's a Disaster,79.0,59.0
Scary Movie V,4.0,38.0
Java Heat,7.0,29.0
The Lords of Salem,47.0,30.0
Oblivion,,27.0
Arthur Newman,20.0,25.0
The Big Wedding,7.0,40.0
Mud,97.0,80.0
Pain & Gain,50.0,47.0
Iron Man 3,79.0,78.0
Greetings From Tim Buckley,72.0,46.0
The Iceman,,
Iceman,,49.0
Kiss of the Damned,68.0,39.0
What Maisie Knew,86.0,80.0
Aftershock,41.0,24.0
The Great Gatsby,52.0,
He's Way More Famous Than You,45.0,46.0
No One Lives,46.0,42.0
Peeples,40.0,49.0
Star Trek Into Darkness,84.0,89.0
Black Rock,53.0,24.0
The English Teacher,43.0,31.0
Frances Ha,92.0,78.0
The Reluctant Fundamentalist,57.0,61.0
The Hangover Part III,20.0,44.0
Before Midnight,,
Epic,,
Fast & Furious 6,71.0,84.0
Behind the Candelabra,94.0,71.0
After Earth,12.0,36.0
Byzantium,66.0,51.0
The East,77.0,64.0
The Kings of Summer,77.0,77.0
Now You See Me,50.0,70.0
Hello Herman,20.0,73.0
The Internship,35.0,51.0
Internship,,
Much Ado About Nothing,,
The Purge,41.0,36.0
Tiger Eyes,63.0,53.0
Violet & Daisy,22.0,35.0
This Is the End,82.0,71.0
The Bling Ring,,33.0
Hatchet III,57.0,40.0
Man of Steel,,
My Little Pony: Equestria Girls,,74.0
Monsters University,80.0,81.0
This Is Martin Bonner,93.0,69.0
World War Z,67.0,72.0
How to Make Money Selling Drugs,76.0,91.0
Copperhead,,
The Heat,66.0,71.0
Heat,,
Hummingbird,,60.0
Some Girls,43.0,43.0
White House Down,51.0,62.0
Despicable Me 2,75.0,85.0
Kevin Hart: Let Me Explain,61.0,72.0
The Lone Ranger,31.0,51.0
Lone Ranger: The Search,,
Bad Words,66.0,61.0
Stuck in Love,58.0,69.0
"The Way, Way Back",84.0,84.0
Fruitvale Station,94.0,87.0
Grown Ups 2,8.0,53.0
Killing Season,10.0,29.0
V/H/S/2,71.0,53.0
Turbo,,71.0
The Conjuring,86.0,83.0
The Girl Most Likely,,17.0
R.I.P.D.,12.0,38.0
Red 2,45.0,63.0
The World's End,89.0,72.0
Blue Jasmine,90.0,77.0
Romeo and Juliet,,
The To Do List,56.0,46.0
X-Men Origins: Wolverine,38.0,58.0
The Smurfs 2,14.0,56.0
The Smurfs 2,14.0,56.0
2 Guns,64.0,66.0
The Canyons,21.0,15.0
Europa Report,80.0,57.0
The Spectacular Now,91.0,76.0
Percy Jackson: Sea of Monsters,42.0,54.0
We're the Millers,48.0,76.0
Elysium,,45.0
Planes,26.0,49.0
Clear History,61.0,54.0
Ain't Them Bodies Saints,77.0,61.0
Lee Daniels' The Butler,72.0,78.0
Jobs,27.0,40.0
Paranoia,,
The Mortal Instruments: City of Bones,13.0,58.0
Drinking Buddies,84.0,49.0
Scenic Route,65.0,50.0
Short Term 12,98.0,92.0
You're Next,80.0,60.0
Closed Circuit,,
Getaway,3.0,36.0
The Lifeguard,16.0,27.0
Lifeguard,47.0,72.0
Hell Baby,33.0,27.0
Riddick,58.0,56.0
Touchy Feely,42.0,22.0
August: Osage County,66.0,65.0
The Family,,
Family,,
Insidious: Chapter 2,39.0,57.0
Dick Figures: The Movie,,82.0
Battle of the Year,6.0,49.0
Enough Said,95.0,75.0
Prisoners,,
Rush,,
Baggage Claim,16.0,48.0
Cloudy With a Chance of Meatballs 2,71.0,66.0
Don Jon,80.0,58.0
Metallica: Through the Never,81.0,74.0
Grace Unplugged,50.0,78.0
Gravity,,29.0
Runner Runner,7.0,33.0
Muhammad Ali's Greatest Fight,38.0,69.0
Captain Phillips,93.0,89.0
Machete Kills,29.0,34.0
12 Years a Slave,95.0,90.0
Escape Plan,50.0,55.0
Carrie,50.0,44.0
The Fifth Estate,36.0,36.0
I'm in Love With a Church Girl,10.0,64.0
The Counselor,34.0,24.0
Jackass Presents: Bad Grandpa,61.0,60.0
About Time,71.0,82.0
Dallas Buyers Club,92.0,91.0
Ender's Game,62.0,65.0
Free Birds,,
Last Vegas,46.0,59.0
The Book Thief,49.0,73.0
Thor: The Dark World,67.0,75.0
The Best Man Holiday,71.0,83.0
The Best Man Holiday,71.0,83.0
The Christmas Candle,21.0,74.0
Contracted,50.0,29.0
Delivery Man,40.0,47.0
The Hunger Games: Catching Fire,90.0,89.0
Nebraska,91.0,83.0
Philomena,91.0,89.0
Black Nativity,51.0,51.0
Frozen,56.0,62.0
Homefront,42.0,61.0
Oldboy,83.0,94.0
Crave,,
Inside Llewyn Davis,92.0,74.0
Out of the Furnace,53.0,52.0
American Hustle,92.0,74.0
The Hobbit: The Desolation of Smaug,75.0,85.0
Saving Mr. Banks,79.0,84.0
Anchorman 2: The Legend Continues,74.0,52.0
Her,95.0,82.0
Walking With Dinosaurs,,
47 Ronin,16.0,48.0
Grudge Match,31.0,46.0
Lone Survivor,75.0,87.0
The Secret Life of Walter Mitty,52.0,71.0
The Secret Life of Walter Mitty,82.0,80.0
The Wolf of Wall Street,63.0,
Labor Day,,
American Sniper,72.0,84.0
"The Hunger Games: Mockingjay, Part 1",69.0,71.0
"The Hunger Games: Mockingjay, Part 1",69.0,71.0
Guardians of the Galaxy,92.0,92.0
Captain America: The Winter Soldier,90.0,92.0
The LEGO Movie,96.0,87.0
The Hobbit: The Battle of the Five Armies,59.0,74.0
Transformers: Age of Extinction,18.0,50.0
Maleficent,54.0,70.0
Big Hero 6,90.0,91.0
Paranormal Activity: The Marked Ones,40.0,34.0
Open Grave,24.0,39.0
Cold Comes the Night,44.0,29.0
Dumbbells,14.0,60.0
The Legend of Hercules,5.0,33.0
Raze,45.0,30.0
Back in the Day,11.0,47.0
Devil's Due,21.0,21.0
Jack Ryan: Shadow Recruit,54.0,52.0
Jamesy Boy,26.0,58.0
The Nut Job,13.0,43.0
Ride Along,17.0,58.0
"I, Frankenstein",5.0,38.0
That Awkward Moment,23.0,46.0
Somewhere Slow,56.0,83.0
The Outsider,,
Outsider,,
Acorralada,,33.0
The Philosophers,67.0,43.0
Nurse,64.0,36.0
The LEGO Movie,96.0,87.0
The Monuments Men,31.0,44.0
The Monuments Men,31.0,44.0
The Pretty One,50.0,46.0
Vampire Academy,17.0,56.0
RoboCop,49.0,49.0
About Last Night ...,63.0,60.0
Adult World,54.0,38.0
Camp Takota,,67.0
Date and Switch,30.0,38.0
Endless Love,26.0,51.0
Someone Marry Barry,20.0,45.0
Apocalypse Pompeii,,6.0
3 Days to Kill,28.0,43.0
Angels in Stardust,22.0,39.0
Barefoot,,84.0
The Bag Man,11.0,22.0
Non-Stop,67.0,75.0
Son of God,19.0,73.0
300: Rise of an Empire,45.0,51.0
Mr. Peabody & Sherman,81.0,73.0
The Grand Budapest Hotel,92.0,87.0
Better Living Through Chemistry,23.0,38.0
Need for Speed,23.0,56.0
Tyler Perry's The Single Moms Club,18.0,58.0
Tyler Perry's The Single Moms Club,18.0,58.0
Veronica Mars,80.0,78.0
Cheap Thrills,88.0,69.0
Divergent,41.0,69.0
God's Not Dead,12.0,75.0
Muppets Most Wanted,80.0,59.0
50 to 1,29.0,71.0
Noah,75.0,41.0
Sabotage!,,
15 to Life: Kenneth's Story,,
Ladies of the House,,44.0
Alien Abduction,,
Captain America: The Winter Soldier,90.0,92.0
Jinn,18.0,31.0
Draft Day,60.0,65.0
Oculus,75.0,53.0
Rio 2,49.0,58.0
Asian School Girls,,8.0
Heaven Is for Real,51.0,66.0
Authors Anonymous,8.0,16.0
A Haunted House 2,8.0,43.0
Kid Cannabis,71.0,64.0
13 Sins,66.0,45.0
Brick Mansions,24.0,47.0
The Other Woman,,
The Other Woman,,
Walking With the Enemy,44.0,59.0
Bad Johnson,28.0,22.0
Decoding Annie Parker,56.0,42.0
Walk of Shame,15.0,38.0
Devil's Knot,26.0,39.0
God's Pocket,36.0,34.0
Moms' Night Out,21.0,66.0
Neighbors,,
Stage Fright,,
Godzilla,20.0,28.0
Million Dollar Arm,65.0,68.0
The Angriest Man in Brooklyn,9.0,30.0
Blended,15.0,64.0
The Normal Heart,94.0,88.0
Maleficent,54.0,70.0
A Million Ways to Die in the West,33.0,41.0
Chef!,,
Edge of Tomorrow,91.0,90.0
The Fault in Our Stars,81.0,85.0
Ping Pong Summer,59.0,31.0
22 Jump Street,84.0,77.0
Cubbyhouse,,15.0
How to Train Your Dragon 2,92.0,90.0
Lullaby,,
Murder 101,,54.0
Obvious Child,90.0,72.0
The Signal,,
The Signal,59.0,58.0
Jersey Boys,51.0,62.0
Think Like a Man Too,23.0,59.0
Rebound,14.0,38.0
They Came Together,70.0,40.0
Transformers: Age of Extinction,18.0,50.0
Deliver Us From Evil,100.0,89.0
Earth to Echo,50.0,47.0
School Dance,,73.0
Tammy,24.0,36.0
Boyhood,97.0,80.0
Dawn of the Planet of the Apes,91.0,88.0
Rage,,
Road to Paloma,57.0,55.0
Snowpiercer,94.0,72.0
I Origins,52.0,69.0
Persecuted,0.0,58.0
Planes: Fire & Rescue,44.0,56.0
The Purge: Anarchy,58.0,56.0
Sex Tape,16.0,33.0
Tiger Orange,100.0,45.0
Wish I Was Here,45.0,59.0
And So It Goes,18.0,40.0
Happy Christmas,77.0,37.0
Hercules,82.0,76.0
Lucy,,14.0
Magic in the Moonlight,51.0,45.0
A Most Wanted Man,86.0,65.0
My Man Is a Loser,,24.0
Get On Up,81.0,68.0
Guardians of the Galaxy,92.0,92.0
Mercenaries,0.0,13.0
4 Minute Mile,23.0,44.0
Into the Storm,,63.0
Step Up: All In,42.0,57.0
TMNT,36.0,60.0
Let's Be Cops,18.0,51.0
The Expendables 3,32.0,48.0
The Giver,35.0,55.0
Life After Beth,45.0,31.0
The One I Love,83.0,76.0
If I Stay,36.0,61.0
Leprechaun: Origins,0.0,11.0
Love Is Strange,,
The Prince,,
Prince,70.0,56.0
Frank Miller's Sin City: A Dame to Kill For,43.0,44.0
When the Game Stands Tall,20.0,72.0
"The Sky Above, the Mud Below",,100.0
Cake,,
Atlas Shrugged: Part 1,12.0,69.0
Dolphin Tale 2,66.0,72.0
Honeymoon,,8.0
The House on Turk Street,25.0,25.0
The Guest,,
Guest,,
A Walk Among the Tombstones,68.0,53.0
The Maze Runner,65.0,68.0
The Scribbler,46.0,38.0
The Skeleton Twins,86.0,69.0
The Skeleton Twins,86.0,69.0
This Is Where I Leave You,44.0,60.0
The Boxtrolls,78.0,63.0
The Equalizer,61.0,77.0
The Song,31.0,82.0
The Two Faces of January,80.0,48.0
The Two Faces of January,80.0,48.0
Annabelle,28.0,35.0
Gone Girl,88.0,87.0
The Good Lie,84.0,82.0
Left Behind: The Movie,16.0,56.0
"Men, Women & Children",33.0,44.0
Last Shift,100.0,51.0
Addicted,,
"Alexander and the Terrible, Horrible, No Good, Very Bad Day",63.0,58.0
Dracula Untold,25.0,58.0
The Judge,,
Judge,,
Whiplash,,92.0
You're Not You,48.0,70.0
The Book of Life,83.0,77.0
The Book of Life,89.0,71.0
Dear White People,91.0,61.0
Fury,,
Listen Up Philip,82.0,54.0
Nightcrawler,95.0,86.0
Pernicious,80.0,71.0
The Young Ones,,54.0
John Wick,86.0,81.0
Laggies,65.0,50.0
Revenge of the Green Dragons,15.0,30.0
Ouija,,42.0
Interstellar,73.0,86.0
A Merry Friggin' Christmas,14.0,21.0
The Better Angels,45.0,43.0
Better Angels,,
Big Hero 6,90.0,91.0
Jessabelle,29.0,30.0
Peripheral,90.0,76.0
Beside Still Waters,62.0,73.0
Beyond the Lights,84.0,75.0
Dumb and Dumber To,30.0,35.0
Foxcatcher,88.0,66.0
The Homesman,81.0,53.0
Saving Christmas,0.0,30.0
"The Hunger Games: Mockingjay, Part 1",69.0,71.0
"The Hunger Games: Mockingjay, Part 1",69.0,71.0
Horrible Bosses 2,35.0,47.0
Penguins of Madagascar,74.0,63.0
Comet,44.0,53.0
Wild,50.0,71.0
Exodus: Gods and Kings,31.0,35.0
Inherent Vice,74.0,53.0
The Color of Time,5.0,18.0
Top Five,85.0,64.0
The Hobbit: The Battle of the Five Armies,59.0,74.0
Goodbye to All That,64.0,31.0
Annie,49.0,69.0
Night at the Museum: Secret of the Tomb,48.0,57.0
American Sniper,72.0,84.0
Big Eyes,72.0,68.0
The Gambler,,
Gambler,,
The Interview,,
Interview,,65.0
Selma,99.0,86.0
Unbroken,52.0,70.0
Jurassic World,71.0,78.0
Avengers: Age of Ultron,76.0,82.0
Inside Out,,37.0
Furious 7,81.0,82.0
Minions,56.0,49.0
"The Hunger Games: Mockingjay, Part 2",69.0,66.0
"The Hunger Games: Mockingjay, Part 2",69.0,66.0
The Martian,91.0,91.0
Martian,,
Cinderella,98.0,80.0
House of the Damned,,44.0
The Woman in Black 2: Angel of Death,24.0,24.0
Taken 3,13.0,43.0
Let's Kill Ward's Wife,17.0,30.0
The Match,,52.0
Blackhat,33.0,24.0
Little Accidents,,
Spare Parts,,38.0
The Wedding Ringer,29.0,63.0
Vice,,
Veronika Decides to Die,,50.0
The Boy Next Door,,22.0
The Humbling,53.0,28.0
Mortdecai,12.0,31.0
Song One,33.0,29.0
Strange Magic,18.0,53.0
Black or White,39.0,65.0
The Loft,14.0,37.0
Loft,,
Project Almanac,38.0,45.0
Wild Card,,
Enter the Dangerous Mind,23.0,30.0
Jupiter Ascending,28.0,38.0
Seventh Son,12.0,34.0
The SpongeBob Movie: Sponge Out of Water,81.0,54.0
The SpongeBob Movie: Sponge Out of Water,81.0,54.0
The Voices,74.0,58.0
Voices,,29.0
Accidental Love,9.0,15.0
Da Sweet Blood of Jesus,48.0,20.0
Fifty Shades of Grey,25.0,41.0
Kingsman: The Secret Service,75.0,84.0
The Last Five Years,60.0,57.0
The DUFF,73.0,66.0
Hot Tub Time Machine 2,14.0,26.0
"McFarland, USA",80.0,88.0
Everly,29.0,29.0
Focus,56.0,62.0
The Lazarus Effect,15.0,23.0
Maps to the Stars,62.0,44.0
Bad Asses,,29.0
Chappie,32.0,56.0
Road Hard,50.0,76.0
The Second Best Exotic Marigold Hotel,66.0,59.0
Unfinished Business,,
Faults,92.0,68.0
Cinderella,98.0,80.0
The Cobbler,,
Cymbeline,,
Home Sweet Hell,5.0,27.0
It Follows,95.0,66.0
Muck,0.0,35.0
Run All Night,59.0,56.0
Danny Collins,78.0,73.0
The Divergent Series: Insurgent,28.0,58.0
Do You Believe?,25.0,83.0
A Promise Kept,,43.0
Tracers,24.0,41.0
The Walking Deceased,0.0,27.0
Get Hard,28.0,45.0
Home.,,
Serena,,
While We're Young,84.0,51.0
Furious 7,81.0,82.0
Woman in Gold,57.0,79.0
Ex Machina,92.0,86.0
The Longest Ride,31.0,71.0
1915,40.0,81.0
Alex of Venice,74.0,43.0
Beyond the Reach,37.0,20.0
Child 44,29.0,42.0
Monkey Kingdom,93.0,76.0
Paul Blart: Mall Cop 2,6.0,34.0
The Road Within,45.0,69.0
True Story,,
Unfriended,62.0,37.0
Adult Beginners,48.0,31.0
Blackbird,,
Brotherly Love,,
Just Before I Go,9.0,63.0
The Age of Adaline,55.0,67.0
The Age of Adaline,55.0,67.0
The Water Diviner,63.0,60.0
Avengers: Age of Ultron,76.0,82.0
The D Train,,
The D Train,54.0,25.0
Hot Pursuit,,
The Maggie,83.0,65.0
Mad Max: Fury Road,97.0,86.0
Pitch Perfect 2,65.0,64.0
I'll See You in My Dreams,93.0,68.0
Bessie,91.0,68.0
Poltergeist,88.0,79.0
Aloha,,
San Andreas,49.0,52.0
Barely Lethal,26.0,38.0
Heaven Knows What,87.0,66.0
Nightingale,,
Entourage,32.0,57.0
The Spy,,
Insidious: Chapter 3,56.0,51.0
Love & Mercy,89.0,85.0
Jurassic World,71.0,78.0
Me and Earl and the Dying Girl,82.0,86.0
Dope,,
Inside Out,,37.0
Max,69.0,64.0
Ted 2,44.0,50.0
Terminator Genisys,26.0,52.0
Magic Mike XXL,65.0,55.0
Minions,56.0,49.0
The Gallows,15.0,22.0
Selfless,,
Tangerine,,
Boulevard,,20.0
Strangerland,40.0,23.0
7 Days in Hell,87.0,70.0
Ant-Man,83.0,85.0
Trainwreck,84.0,66.0
Irrational Man,47.0,46.0
Mr. Holmes,88.0,70.0
Pixels,18.0,46.0
Southpaw: The Francis Barrett Story,69.0,82.0
Paper Towns,58.0,47.0
The Vatican Tapes,20.0,58.0
Vacation,,
Mission: Impossible Rogue Nation,94.0,87.0
Fantastic Four,28.0,45.0
The Gift,,
Gift,100.0,89.0
Ricki and the Flash,65.0,43.0
Straight Outta Compton,89.0,91.0
The Man From U.N.C.L.E.,68.0,73.0
American Ultra,44.0,45.0
Hitman: Agent 47,8.0,40.0
She's Funny That Way,45.0,35.0
No Escape,59.0,41.0
The War Room,96.0,83.0
Before We Go,28.0,57.0
The Visit,,
The Visit,72.0,45.0
The Perfect Guy,18.0,51.0
Sleeping With Other People,64.0,56.0
Black Mass,,
Captive Flock,,
Maze Runner: The Scorch Trials,48.0,54.0
Sicario,,93.0
War Pigs,,20.0
Hotel Transylvania 2,57.0,64.0
99 Homes,92.0,78.0
The Intern,59.0,73.0
Intern,38.0,28.0
Stonewall,67.0,68.0
Mississippi Grind,91.0,55.0
The Walk,,
The Martian,91.0,91.0
Martian,,
Freeheld,,84.0
Steve Jobs: The Lost Interview,100.0,84.0
Knock Knock,,25.0
Beasts of No Nation,91.0,92.0
Bridge of Spies,91.0,87.0
Crimson Peak,73.0,56.0
Woodlawn,73.0,80.0
#Truth,,
Experimenter,85.0,61.0
Rock the Kasbah,7.0,29.0
Paranormal Activity: The Ghost Dimension,15.0,27.0
The Last Witch Hunter,18.0,44.0
Bone Tomahawk,91.0,74.0
I Smile Back,49.0,62.0
Scouts Guide to the Zombie Apocalypse,44.0,50.0
Our Brand Is Crisis,93.0,75.0
Freaks of Nature,0.0,45.0
Burnt,28.0,45.0
The Leisure Class,0.0,16.0
House of the Damned,,44.0
Spotlight,,
The Peanuts Movie,87.0,76.0
The 33,48.0,59.0
My All American,31.0,78.0
Love the Coopers,18.0,36.0
Carol,94.0,75.0
Legend,41.0,73.0
"The Hunger Games: Mockingjay, Part 2",69.0,66.0
"The Hunger Games: Mockingjay, Part 2",69.0,66.0
The Night Before,,
The Night Before,,54.0
Creed,95.0,89.0
The Good Dinosaur,75.0,64.0
Krampus,66.0,52.0
In the Heart of the Sea,43.0,54.0
The Big Short,89.0,88.0
Alvin and the Chipmunks: The Road Chip,15.0,51.0
Sisters,,
Extraction,,28.0
Concussion,78.0,57.0
Daddy's Home,,20.0
Joy,,
Point Break,69.0,79.0
The Hateful Eight,75.0,77.0
An American Ghost Story,,18.0
Anomalisa,91.0,71.0
Rogue One: A Star Wars Story,84.0,87.0
Finding Dory,94.0,84.0
Captain America: Civil War,90.0,89.0
The Secret Life of Pets,70.0,62.0
The Jungle Book,,75.0
Jungle Book,,
Deadpool,85.0,90.0
Zootopia,98.0,92.0
Batman v Superman: Dawn of Justice,29.0,63.0
Suicide Squad,,50.0
Sing,43.0,88.0
Forest,,
Forest,,
Anesthesia,27.0,50.0
The Lamb,,
Ride Along 2,14.0,48.0
13 Hours: The Secret Soldiers of Benghazi,52.0,83.0
Norm of the North,6.0,22.0
The Benefactor,26.0,23.0
Dirty Grandpa,10.0,44.0
The Boy,31.0,38.0
Boy,88.0,86.0
Synchronicity,,
Kung Fu Panda 3,86.0,79.0
The Finest Hours,64.0,66.0
The Finest Hours,,
Fifty Shades of Black,4.0,19.0
Jane Got a Gun,41.0,38.0
Pride and Prejudice and Zombies,47.0,45.0
The Choice,11.0,61.0
Choice,,
Deadpool,85.0,90.0
Zoolander No. 2,22.0,20.0
How to Be Single,46.0,47.0
The Risen,,
The Witch,,
Witch,,
"Crouching Tiger, Hidden Dragon: Sword of Destiny",20.0,39.0
Gods of Egypt,14.0,37.0
Triple 9,55.0,41.0
Eddie the Eagle,82.0,82.0
Zootopia,98.0,92.0
London Has Fallen,28.0,50.0
Whiskey Tango Foxtrot,68.0,54.0
The Other Side of the Door,36.0,29.0
Open Season: Scared Silly,,36.0
10 Cloverfield Lane,90.0,79.0
The Brothers Grimsby,36.0,41.0
The Brothers Grimsby,36.0,41.0
The Young Messiah,49.0,65.0
The Perfect Match,,
Perfect Match,,
"Hello, My Name Is Doris",85.0,76.0
Miracles From Heaven,45.0,80.0
The Divergent Series: Allegiant,11.0,41.0
The Bronze,36.0,44.0
Batman v Superman: Dawn of Justice,29.0,63.0
My Big Fat Greek Wedding 2,28.0,52.0
I Saw the Light,19.0,37.0
Everybody Wants Some!!,87.0,68.0
God's Not Dead 2,10.0,62.0
Meet the Blacks,17.0,72.0
The Miles Ahead,,
Pandemic,,32.0
The Boss,,
Boss,,
Hardcore Henry,51.0,55.0
Demolition,,
The Invitation,90.0,69.0
Invitation,,57.0
Hush,,
The Jungle Book,,75.0
Jungle Book,,
Barbershop: The Next Cut,90.0,66.0
Criminal,,
The Green Room,40.0,54.0
Confirmation,84.0,73.0
The Huntsman: Winter's War,20.0,45.0
A Hologram for the King,70.0,54.0
Elvis & Nixon,76.0,57.0
