tconst,titleType,primaryTitle,originalTitle,isAdult,startYear,endYear,runtimeMinutes,genres,title,url,release_date,critic_score,audience_score
tt0383028,movie,"Synecdoche, New York","synecdoche, new york",0,2008.0,,124.0,Drama,"synecdoche, new york",https://www.rottentomatoes.com/m/synecdoche_new_york,"Released Oct 24, 2008",69%,71%
tt0383222,movie,BloodRayne,bloodrayne,0,2005.0,,95.0,"Action,Fantasy,Horror",bloodrayne,https://www.rottentomatoes.com/m/bloodrayne,"Released Oct 23, 2005",4%,17%
tt0383232,movie,Bruised,bruised,0,2002.0,,73.0,Drama,bruised,https://www.rottentomatoes.com/m/bruised,"Released Nov 17, 2021",50%,56%
tt0383574,movie,Pirates of the Caribbean: Dead Man's Chest,pirates of the caribbean: dead man's chest,0,2006.0,,151.0,"Action,Adventure,Fantasy",pirates of the caribbean: dead man's chest,https://www.rottentomatoes.com/m/pirates_of_the_caribbean_dead_mans_chest,"Released Jul 7, 2006",53%,72%
tt0383694,movie,Vera Drake,vera drake,0,2004.0,,125.0,"Crime,Drama",vera drake,https://www.rottentomatoes.com/m/vera_drake,"Released Oct 10, 2004",93%,84%
tt0384533,movie,She Hate Me,she hate me,0,2004.0,,138.0,"Comedy,Drama",she hate me,https://www.rottentomatoes.com/m/she_hate_me,"Released Jul 30, 2004",19%,59%
tt0384537,movie,Silent Hill,silent hill,0,2006.0,,125.0,"Horror,Mystery",silent hill,https://www.rottentomatoes.com/m/silent_hill,"Released Apr 21, 2006",32%,63%
tt0384642,movie,Kicking & Screaming,kicking & screaming,0,2005.0,,95.0,"Comedy,Family,Romance",kicking & screaming,https://www.rottentomatoes.com/m/kicking_and_screaming,"Released May 13, 2005",41%,43%
tt0384680,movie,The Weather Man,the weather man,0,2005.0,,102.0,"Comedy,Drama",the weather man,https://www.rottentomatoes.com/m/weather_man,"Released Oct 28, 2005",60%,56%
tt0384683,movie,What We Do Is Secret,what we do is secret,0,2007.0,,92.0,"Biography,Drama,Music",what we do is secret,https://www.rottentomatoes.com/m/what_we_do_is_secret,2007,45%,53%
tt0384793,movie,Accepted,accepted,0,2006.0,,93.0,Comedy,accepted,https://www.rottentomatoes.com/m/accepted,"Released Aug 18, 2006",38%,72%
