year,category,nominee,winner
1937,DANCE DIRECTION,Cain and Mabel,False
1937,DANCE DIRECTION,The Great Ziegfeld,True
1937,DANCE DIRECTION,Born to Dance,False
1937,DANCE DIRECTION,One in a Million,False
1937,DANCE DIRECTION,Dancing Pirate,False
1937,DANCE DIRECTION,Swing Time,False
1937,DIRECTING,Dodsworth,False
1937,DIRECTING,The Great Ziegfeld,False
1937,DIRECTING,Mr. Deeds Goes to Town,True
1937,DIRECTING,My Man Godfrey,False
1937,DIRECTING,San Francisco,False
1937,FILM EDITING,Anthony Adverse,True
1937,FILM EDITING,Come and Get It,False
1937,FILM EDITING,The Great Ziegfeld,False
1937,FILM EDITING,Lloyds of London,False
1937,FILM EDITING,A Tale of Two Cities,False
1937,FILM EDITING,Theodora Goes Wild,False
1937,MUSIC (Scoring),Anthony Adverse,True
1937,MUSIC (Scoring),The Charge of the Light Brigade,False
1937,MUSIC (Scoring),The Garden of Allah,False
1937,MUSIC (Scoring),The General Died at Dawn,False
1937,MUSIC (Scoring),Winterset,False
1937,MUSIC (Song),Suzy,False
1937,MUSIC (Song),Born to Dance,False
1937,MUSIC (Song),Trail of the Lonesome Pine,False
1937,MUSIC (Song),Pennies from Heaven,False
1937,MUSIC (Song),Swing Time,True
1937,MUSIC (Song),"Sing, Baby, Sing",False
1937,OUTSTANDING PRODUCTION,Anthony Adverse,False
1937,OUTSTANDING PRODUCTION,Dodsworth,False
1937,OUTSTANDING PRODUCTION,The Great Ziegfeld,True
1937,OUTSTANDING PRODUCTION,Libeled Lady,False
1937,OUTSTANDING PRODUCTION,Mr. Deeds Goes to Town,False
1937,OUTSTANDING PRODUCTION,Romeo and Juliet,False
1937,OUTSTANDING PRODUCTION,San Francisco,False
1937,OUTSTANDING PRODUCTION,The Story of Louis Pasteur,False
1937,OUTSTANDING PRODUCTION,A Tale of Two Cities,False
1937,OUTSTANDING PRODUCTION,Three Smart Girls,False
1937,SHORT SUBJECT (Cartoon),The Country Cousin,True
1937,SHORT SUBJECT (Cartoon),Old Mill Pond,False
1937,SHORT SUBJECT (Cartoon),Sinbad the Sailor,False
1937,SHORT SUBJECT (Color),Give Me Liberty,True
1937,SHORT SUBJECT (Color),La Fiesta de Santa Barbara,False
1937,SHORT SUBJECT (Color),Popular Science J-6-2,False
1937,SHORT SUBJECT (One-reel),Bored of Education,True
1937,SHORT SUBJECT (One-reel),Moscow Moods,False
1937,SHORT SUBJECT (One-reel),"Wanted, a Master",False
1937,SHORT SUBJECT (Two-reel),Double or Nothing,False
1937,SHORT SUBJECT (Two-reel),Dummy Ache,False
1937,SHORT SUBJECT (Two-reel),The Public Pays,True
1937,SOUND RECORDING,Banjo on My Knee,False
1937,SOUND RECORDING,The Charge of the Light Brigade,False
1937,SOUND RECORDING,Dodsworth,False
1937,SOUND RECORDING,General Spanky,False
1937,SOUND RECORDING,Mr. Deeds Goes to Town,False
1937,SOUND RECORDING,San Francisco,True
1937,SOUND RECORDING,The Texas Rangers,False
1937,SOUND RECORDING,That Girl from Paris,False
1937,SOUND RECORDING,Three Smart Girls,False
1937,WRITING (Original Story),Fury,False
1937,WRITING (Original Story),The Great Ziegfeld,False
1937,WRITING (Original Story),San Francisco,False
1937,WRITING (Original Story),The Story of Louis Pasteur,True
1937,WRITING (Original Story),Three Smart Girls,False
1937,WRITING (Screenplay),After the Thin Man,False
1937,WRITING (Screenplay),Dodsworth,False
1937,WRITING (Screenplay),Mr. Deeds Goes to Town,False
1937,WRITING (Screenplay),My Man Godfrey,False
1937,WRITING (Screenplay),The Story of Louis Pasteur,True
1937,SPECIAL AWARD,The March of Time,True
1937,SPECIAL AWARD,The Garden of Allah,True
1938,ACTOR,Conquest,False
1938,ACTOR,A Star Is Born,False
1938,ACTOR,Night Must Fall,False
1938,ACTOR,The Life of Emile Zola,False
1938,ACTOR,Captains Courageous,True
1938,ACTOR IN A SUPPORTING ROLE,The Awful Truth,False
1938,ACTOR IN A SUPPORTING ROLE,The Hurricane,False
1938,ACTOR IN A SUPPORTING ROLE,The Life of Emile Zola,True
1938,ACTOR IN A SUPPORTING ROLE,Lost Horizon,False
1938,ACTOR IN A SUPPORTING ROLE,Topper,False
1938,ACTRESS,The Awful Truth,False
1938,ACTRESS,Camille,False
1938,ACTRESS,A Star Is Born,False
1938,ACTRESS,The Good Earth,True
1938,ACTRESS,Stella Dallas,False
1938,ACTRESS IN A SUPPORTING ROLE,In Old Chicago,True
1938,ACTRESS IN A SUPPORTING ROLE,Stage Door,False
1938,ACTRESS IN A SUPPORTING ROLE,Stella Dallas,False
1938,ACTRESS IN A SUPPORTING ROLE,Dead End,False
1938,ACTRESS IN A SUPPORTING ROLE,Night Must Fall,False
1938,ART DIRECTION,Conquest,False
1938,ART DIRECTION,A Damsel in Distress,False
1938,ART DIRECTION,Dead End,False
1938,ART DIRECTION,Every Day's a Holiday,False
1938,ART DIRECTION,The Life of Emile Zola,False
1938,ART DIRECTION,Lost Horizon,True
1938,ART DIRECTION,Manhattan Merry-Go-Round,False
1938,ART DIRECTION,The Prisoner of Zenda,False
1938,ART DIRECTION,Souls at Sea,False
1938,ART DIRECTION,Walter Wanger's Vogues of 1938,False
1938,ART DIRECTION,Wee Willie Winkie,False
1938,ART DIRECTION,You're a Sweetheart,False
1938,ASSISTANT DIRECTOR,In Old Chicago,True
