title,awards_all,nomination_count,award_count,awards_won,awards_nominated
One Flew over the Cuckoo's Nest,"Oscars - ACTOR(Won)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTRESS(Won)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - DIRECTING(Won)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - BEST PICTURE(Won)
Oscars - WRITING (Screenplay Adapted from Other Material)(Won)",9,5,"Oscars - ACTOR(Won)
Oscars - ACTRESS(Won)
Oscars - DIRECTING(Won)
Oscars - BEST PICTURE(Won)
Oscars - WRITING (Screenplay Adapted from Other Material)(Won)","Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - CINEMATOGRAPHY(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)"
One Foot in Heaven,Oscars - OUTSTANDING MOTION PICTURE(Nominated),1,0,,Oscars - OUTSTANDING MOTION PICTURE(Nominated)
One For My Baby,BAFTAs - Film | Short Film in 1986(Nominated),1,0,,BAFTAs - Film | Short Film in 1986(Nominated)
One Hour with You,Oscars - OUTSTANDING PRODUCTION(Nominated),1,0,,Oscars - OUTSTANDING PRODUCTION(Nominated)
One Hundred And One Dalmatians,BAFTAs - Film | Animated Film in 1962(Won),1,1,BAFTAs - Film | Animated Film in 1962(Won),
One Hundred Men and a Girl,"Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Scoring)(Won)
Oscars - OUTSTANDING PRODUCTION(Nominated)
Oscars - SOUND RECORDING(Nominated)
Oscars - WRITING (Original Story)(Nominated)",5,1,Oscars - MUSIC (Scoring)(Won),"Oscars - FILM EDITING(Nominated)
Oscars - OUTSTANDING PRODUCTION(Nominated)
Oscars - SOUND RECORDING(Nominated)
Oscars - WRITING (Original Story)(Nominated)"
One Is a Lonely Number,Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
One Man Band,Oscars - SHORT FILM (Animated)(Nominated),1,0,,Oscars - SHORT FILM (Animated)(Nominated)
One Million B.C.,"Oscars - MUSIC (Original Score)(Nominated)
Oscars - SPECIAL EFFECTS(Nominated)",2,0,,"Oscars - MUSIC (Original Score)(Nominated)
Oscars - SPECIAL EFFECTS(Nominated)"
One Night Stand,BAFTAs - Film | Short Film in 1994(Nominated),1,0,,BAFTAs - Film | Short Film in 1994(Nominated)
