title,stars_in_movie,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross
"Drive, He Said",,57.0,21.0,,0,0,,,
Wuthering Heights,Tom Hardy,31.0,66.0,"Oscars - ACTOR(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - CINEMATOGRAPHY (Black-and-White)(Won)
Oscars - DIRECTING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - OUTSTANDING PRODUCTION(Nominated)
Oscars - WRITING (Screenplay)(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",9,1,Oscars - CINEMATOGRAPHY (Black-and-White)(Won),"Oscars - ACTOR(Nominated)
Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - MUSIC (Original Score)(Nominated)
Oscars - OUTSTANDING PRODUCTION(Nominated)
Oscars - WRITING (Screenplay)(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",
Fortune and Men's Eyes,,57.0,53.0,,0,0,,,
Who Is Harry Kellerman and Why Is He Saying Those Terrible Things About Me?,,40.0,33.0,,0,0,,,
The Anderson Tapes,,76.0,53.0,,0,0,,,
Willard,,64.0,51.0,,0,0,,,
Le Mans,,71.0,79.0,Golden Globes - Best Original Score - Motion Picture(Nominated),1,0,,Golden Globes - Best Original Score - Motion Picture(Nominated),
McCabe & Mrs. Miller,,85.0,86.0,Oscars - ACTRESS(Nominated),1,0,,Oscars - ACTRESS(Nominated),
Klute,,93.0,80.0,"Oscars - ACTRESS(Won)
Oscars - WRITING (Story and Screenplay--based on factual material or material not previously published or produced)(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Won)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",4,2,"Oscars - ACTRESS(Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Won)","Oscars - WRITING (Story and Screenplay--based on factual material or material not previously published or produced)(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",
The Hellstrom Chronicle,,75.0,87.0,"Oscars - DOCUMENTARY (Feature)(Won)
BAFTAs - Film | Robert Flaherty Award (Feature Length Film, Documentary In Content) in 1972(Won)",2,2,"Oscars - DOCUMENTARY (Feature)(Won)
BAFTAs - Film | Robert Flaherty Award (Feature Length Film, Documentary In Content) in 1972(Won)",,
Carnal Knowledge,,88.0,72.0,"Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)",4,1,Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Won),"Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Nominated)",
"$1,000,000 Duck",,17.0,41.0,"Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - New Star Of The Year - Actress(Nominated)",2,0,,"Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - New Star Of The Year - Actress(Nominated)",
What's the Matter With Helen?,,55.0,41.0,,0,0,,,
Willy Wonka and the Chocolate Factory,,92.0,87.0,Oscars - MUSIC (Scoring: Adaptation and Original Song Score)(Nominated),1,0,,Oscars - MUSIC (Scoring: Adaptation and Original Song Score)(Nominated),
Walkabout,,86.0,86.0,,0,0,,,
"Sunday, Bloody Sunday",,87.0,70.0,"BAFTAs - Film | Cinematography in 1972(Nominated)
BAFTAs - Film | Direction in 1972(Won)
BAFTAs - Film | Film in 1972(Won)
BAFTAs - Film | Film Editing in 1972(Won)
BAFTAs - Film | Screenplay in 1972(Nominated)
BAFTAs - Film | Soundtrack in 1972(Nominated)",6,3,"BAFTAs - Film | Direction in 1972(Won)
BAFTAs - Film | Film in 1972(Won)
BAFTAs - Film | Film Editing in 1972(Won)","BAFTAs - Film | Cinematography in 1972(Nominated)
BAFTAs - Film | Screenplay in 1972(Nominated)
BAFTAs - Film | Soundtrack in 1972(Nominated)",
Shaft,"Christian Bale, Samuel L. Jackson",34.0,94.0,"Oscars - MUSIC (Original Dramatic Score)(Nominated)
Oscars - MUSIC (Song--Original for the Picture)(Won)
BAFTAs - Film | Anthony Asquith Memorial Award in 1972(Nominated)
Golden Globes - Best Original Score - Motion Picture(Won)
Golden Globes - Best Original Song - Motion Picture(Nominated)
Golden Globes - New Star Of The Year - Actor(Nominated)",6,2,"Oscars - MUSIC (Song--Original for the Picture)(Won)
Golden Globes - Best Original Score - Motion Picture(Won)","Oscars - MUSIC (Original Dramatic Score)(Nominated)
BAFTAs - Film | Anthony Asquith Memorial Award in 1972(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)
Golden Globes - New Star Of The Year - Actor(Nominated)",107190108.0
Two-Lane Blacktop,,93.0,82.0,,0,0,,,
Vampyros Lesbos,,56.0,47.0,,0,0,,,
The Devils,,70.0,88.0,,0,0,,,
The Hunting Party,,20.0,54.0,,0,0,,,
At the Edge of the World,,87.0,48.0,,0,0,,,
Godzilla vs. Hedorah,,64.0,49.0,,0,0,,,
The Horsemen,,30.0,57.0,,0,0,,,
Horsemen,,17.0,25.0,,0,0,,,
On Any Sunday,,83.0,84.0,Oscars - DOCUMENTARY (Feature)(Nominated),1,0,,Oscars - DOCUMENTARY (Feature)(Nominated),
Von Richthofen and Brown,,56.0,35.0,,0,0,,,
The Go-Between,,100.0,78.0,"Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
BAFTAs - Film | Art Direction in 1972(Nominated)
BAFTAs - Film | Cinematography in 1972(Nominated)
BAFTAs - Film | Costume Design in 1972(Nominated)
BAFTAs - Film | Direction in 1972(Nominated)
BAFTAs - Film | Film in 1972(Nominated)
BAFTAs - Film | Screenplay in 1972(Won)
BAFTAs - Film | Soundtrack in 1972(Nominated)",8,1,BAFTAs - Film | Screenplay in 1972(Won),"Oscars - ACTRESS IN A SUPPORTING ROLE(Nominated)
BAFTAs - Film | Art Direction in 1972(Nominated)
BAFTAs - Film | Cinematography in 1972(Nominated)
BAFTAs - Film | Costume Design in 1972(Nominated)
BAFTAs - Film | Direction in 1972(Nominated)
BAFTAs - Film | Film in 1972(Nominated)
BAFTAs - Film | Soundtrack in 1972(Nominated)",
The Omega Man,,65.0,53.0,,0,0,,,
The Hired Hand,,81.0,75.0,,0,0,,,
Let's Scare Jessica to Death,,36.0,50.0,,0,0,,,
Beware of a Holy Whore,,84.0,62.0,,0,0,,,
See No Evil,,10.0,50.0,,0,0,,,18828036.0
Kotch,,75.0,68.0,"Oscars - ACTOR(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Song--Original for the Picture)(Nominated)
Oscars - SOUND(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - Best Original Song - Motion Picture(Won)",8,1,Golden Globes - Best Original Song - Motion Picture(Won),"Oscars - ACTOR(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Song--Original for the Picture)(Nominated)
Oscars - SOUND(Nominated)
Golden Globes - Best Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)",
"Unman, Wittering and Zigo",,40.0,82.0,,0,0,,,
And Now for Something Completely Different,,88.0,87.0,,0,0,,,
The Last Movie,,50.0,52.0,,0,0,,,
Shootout,,20.0,44.0,,0,0,,,
The Organization,,25.0,29.0,,0,0,,,
Play Misty for Me,,85.0,71.0,Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated),1,0,,Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated),
Joe Hill,,50.0,89.0,,0,0,,,
A Fistful of Dynamite,,92.0,83.0,,0,0,,,
Hannie Caulder,,60.0,54.0,,0,0,,,
Born to Win,,29.0,35.0,,0,0,,,
Believe in Me,,60.0,74.0,,0,0,,,
Gumshoe,,88.0,54.0,BAFTAs - Film | Screenplay in 1972(Nominated),1,0,,BAFTAs - Film | Screenplay in 1972(Nominated),
The Decameron,,79.0,75.0,,0,0,,,
The Hospital,,100.0,73.0,"Oscars - ACTOR(Nominated)
Oscars - WRITING (Story and Screenplay--based on factual material or material not previously published or produced)(Won)
BAFTAs - Film | Screenplay in 1973(Won)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Won)",6,3,"Oscars - WRITING (Story and Screenplay--based on factual material or material not previously published or produced)(Won)
BAFTAs - Film | Screenplay in 1973(Won)
Golden Globes - Best Screenplay - Motion Picture(Won)","Oscars - ACTOR(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)",
The Boy Friend,,88.0,68.0,Oscars - MUSIC (Scoring: Adaptation and Original Song Score)(Nominated),1,0,,Oscars - MUSIC (Scoring: Adaptation and Original Song Score)(Nominated),
Lady and the Tramp,,93.0,80.0,,0,0,,,93638221.0
Mary Queen of Scots,,62.0,41.0,"Oscars - COSTUME DESIGN(Nominated)
Oscars - MAKEUP AND HAIRSTYLING(Nominated)
BAFTAs - Film | Costume Design in 2019(Nominated)
BAFTAs - Film | Make Up and Hair in 2019(Nominated)",4,0,,"Oscars - COSTUME DESIGN(Nominated)
Oscars - MAKEUP AND HAIRSTYLING(Nominated)
BAFTAs - Film | Costume Design in 2019(Nominated)
BAFTAs - Film | Make Up and Hair in 2019(Nominated)",48481754.0
Sometimes a Great Notion,,100.0,77.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - MUSIC (Song--Original for the Picture)(Nominated)",2,0,,"Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - MUSIC (Song--Original for the Picture)(Nominated)",
Harold and Maude,,86.0,93.0,"Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Actress In A Leading Role - Musical Or Comedy(Nominated)",2,0,,"Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy(Nominated)
Golden Globes - Actress In A Leading Role - Musical Or Comedy(Nominated)",
The Gang That Couldn't Shoot Straight,,20.0,26.0,,0,0,,,
Minnie and Moskowitz,,82.0,85.0,,0,0,,,
Straw Dogs,,82.0,82.0,Oscars - MUSIC (Original Dramatic Score)(Nominated),1,0,,Oscars - MUSIC (Original Dramatic Score)(Nominated),
The Godfather,"Al Pacino, Marlon Brando",97.0,98.0,"Oscars - ACTOR(Won)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Dramatic Score)(Nominated)
Oscars - BEST PICTURE(Won)
Oscars - SOUND(Nominated)
Oscars - WRITING (Screenplay--based on material from another medium)(Won)
BAFTAs - Film | Anthony Asquith Memorial Award in 1973(Won)
BAFTAs - Film | Costume Design in 1973(Nominated)",13,4,"Oscars - ACTOR(Won)
Oscars - BEST PICTURE(Won)
Oscars - WRITING (Screenplay--based on material from another medium)(Won)
BAFTAs - Film | Anthony Asquith Memorial Award in 1973(Won)","Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - MUSIC (Original Dramatic Score)(Nominated)
Oscars - SOUND(Nominated)
BAFTAs - Film | Costume Design in 1973(Nominated)",270007394.0
"What's Up, Doc?",,89.0,88.0,Golden Globes - New Star Of The Year - Actress(Nominated),1,0,,Golden Globes - New Star Of The Year - Actress(Nominated),57142740.0
Deliverance,,89.0,82.0,"Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
BAFTAs - Film | Film Editing in 1973(Nominated)
BAFTAs - Film | Soundtrack in 1973(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",10,0,,"Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Nominated)
Oscars - BEST PICTURE(Nominated)
BAFTAs - Film | Film Editing in 1973(Nominated)
BAFTAs - Film | Soundtrack in 1973(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Performance by an Actor in a Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)",46122355.0
Jeremiah Johnson,,91.0,89.0,,0,0,,,44693786.0
Cabaret,,92.0,87.0,"Oscars - ACTOR IN A SUPPORTING ROLE(Won)
Oscars - ACTRESS(Won)
Oscars - ART DIRECTION(Won)
Oscars - CINEMATOGRAPHY(Won)
Oscars - DIRECTING(Won)
Oscars - FILM EDITING(Won)
Oscars - MUSIC (Scoring: Adaptation and Original Song Score)(Won)
Oscars - BEST PICTURE(Nominated)
Oscars - SOUND(Won)
Oscars - WRITING (Screenplay--based on material from another medium)(Nominated)
BAFTAs - Film | Art Direction in 1973(Won)
BAFTAs - Film | Costume Design in 1973(Nominated)
BAFTAs - Film | Direction in 1973(Won)
BAFTAs - Film | Film in 1973(Won)
BAFTAs - Film | Film Editing in 1973(Nominated)
BAFTAs - Film | Screenplay in 1973(Nominated)
BAFTAs - Film | Soundtrack in 1973(Won)
Golden Globes - Best Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Won)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)
Golden Globes - New Star Of The Year - Actress(Nominated)",26,15,"Oscars - ACTOR IN A SUPPORTING ROLE(Won)
Oscars - ACTRESS(Won)
Oscars - ART DIRECTION(Won)
Oscars - CINEMATOGRAPHY(Won)
Oscars - DIRECTING(Won)
Oscars - FILM EDITING(Won)
Oscars - MUSIC (Scoring: Adaptation and Original Song Score)(Won)
Oscars - SOUND(Won)
BAFTAs - Film | Art Direction in 1973(Won)
BAFTAs - Film | Direction in 1973(Won)
BAFTAs - Film | Film in 1973(Won)
BAFTAs - Film | Soundtrack in 1973(Won)
Golden Globes - Best Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy(Won)
Golden Globes - Best Performance by an Actor in a Supporting Role in any Motion Picture(Won)","Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Screenplay--based on material from another medium)(Nominated)
BAFTAs - Film | Costume Design in 1973(Nominated)
BAFTAs - Film | Film Editing in 1973(Nominated)
BAFTAs - Film | Screenplay in 1973(Nominated)
Golden Globes - Best Performance by an Actress in a Supporting Role in any Motion Picture(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)
Golden Globes - Best Original Song - Motion Picture(Nominated)
Golden Globes - New Star Of The Year - Actress(Nominated)",41409720.0
Getaway,,3.0,36.0,,0,0,,,
Last Tango in Paris,,82.0,75.0,"Oscars - ACTOR(Nominated)
Oscars - DIRECTING(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)",4,0,,"Oscars - ACTOR(Nominated)
Oscars - DIRECTING(Nominated)
Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)",36147711.0
Lady Sings the Blues,,71.0,86.0,"Oscars - ACTRESS(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - MUSIC (Scoring: Adaptation and Original Song Score)(Nominated)
Oscars - WRITING (Story and Screenplay--based on factual material or material not previously published or produced)(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)
Golden Globes - New Star Of The Year - Actress(Won)",8,1,Golden Globes - New Star Of The Year - Actress(Won),"Oscars - ACTRESS(Nominated)
Oscars - ART DIRECTION(Nominated)
Oscars - COSTUME DESIGN(Nominated)
Oscars - MUSIC (Scoring: Adaptation and Original Song Score)(Nominated)
Oscars - WRITING (Story and Screenplay--based on factual material or material not previously published or produced)(Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Drama(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",19726490.0
The Cowboys,,75.0,88.0,,0,0,,,
Cisco Pike,,100.0,62.0,,0,0,,,
"X, Y & Zee",,29.0,35.0,Golden Globes - Foreign Film - English Language(Nominated),1,0,,Golden Globes - Foreign Film - English Language(Nominated),
The Hot Rock,,78.0,69.0,Oscars - FILM EDITING(Nominated),1,0,,Oscars - FILM EDITING(Nominated),
Pocket Money,,50.0,31.0,,0,0,,,
The New Land,,100.0,86.0,Oscars - FOREIGN LANGUAGE FILM(Nominated),1,0,,Oscars - FOREIGN LANGUAGE FILM(Nominated),
Frogs,,28.0,24.0,,0,0,,,
Silent Running,,71.0,66.0,,0,0,,,
Godzilla vs. Gigan,,67.0,48.0,,0,0,,,
Pink Flamingos,,84.0,72.0,,0,0,,,
Fritz the Cat,,64.0,59.0,,0,0,,,
Buck and the Preacher,,84.0,62.0,,0,0,,,
Vampire Circus,,80.0,64.0,,0,0,,,
"Play It Again, Sam",,97.0,89.0,,0,0,,,
The Great Northfield Minnesota Raid,,73.0,44.0,,0,0,,,
Hammersmith Is Out,,29.0,56.0,,0,0,,,
Boxcar Bertha,,56.0,33.0,,0,0,,,
Shaft's Big Score!,,58.0,46.0,,0,0,,,
Frenzy,,91.0,78.0,"Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",4,0,,"Golden Globes - Best Motion Picture - Drama(Nominated)
Golden Globes - Best Director - Motion Picture(Nominated)
Golden Globes - Best Screenplay - Motion Picture(Nominated)
Golden Globes - Best Original Score - Motion Picture(Nominated)",
The Groundstar Conspiracy,,33.0,67.0,,0,0,,,
Ben,,60.0,38.0,"Oscars - MUSIC (Song--Original for the Picture)(Nominated)
Golden Globes - Best Original Song - Motion Picture(Won)",2,1,Golden Globes - Best Original Song - Motion Picture(Won),Oscars - MUSIC (Song--Original for the Picture)(Nominated),
Prime Cut,,71.0,72.0,,0,0,,,
The Candidate,,89.0,74.0,"Oscars - SOUND(Nominated)
Oscars - WRITING (Story and Screenplay--based on factual material or material not previously published or produced)(Won)",2,1,Oscars - WRITING (Story and Screenplay--based on factual material or material not previously published or produced)(Won),Oscars - SOUND(Nominated),
