title,stars_in_movie,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross
The Killing Fields,,93.0,91.0,"Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - ACTOR IN A SUPPORTING ROLE(Won)
Oscars - CINEMATOGRAPHY(Won)
Oscars - DIRECTING(Nominated)
Oscars - FILM EDITING(Won)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Screenplay Based on Material from Another Medium)(Nominated)
BAFTAs - Film | Adapted Screenplay in 1985(Won)
BAFTAs - Film | Cinematography in 1985(Won)
BAFTAs - Film | Direction in 1985(Nominated)
BAFTAs - Film | Editing in 1985(Won)
BAFTAs - Film | Film in 1985(Won)
BAFTAs - Film | Production Design in 1985(Won)
BAFTAs - Film | Score For A Film in 1985(Nominated)
BAFTAs - Film | Sound in 1985(Won)
BAFTAs - Film | Special Visual Effects in 1985(Nominated)",16,9,"Oscars - ACTOR IN A SUPPORTING ROLE(Won)
Oscars - CINEMATOGRAPHY(Won)
Oscars - FILM EDITING(Won)
BAFTAs - Film | Adapted Screenplay in 1985(Won)
BAFTAs - Film | Cinematography in 1985(Won)
BAFTAs - Film | Editing in 1985(Won)
BAFTAs - Film | Film in 1985(Won)
BAFTAs - Film | Production Design in 1985(Won)
BAFTAs - Film | Sound in 1985(Won)","Oscars - ACTOR IN A LEADING ROLE(Nominated)
Oscars - DIRECTING(Nominated)
Oscars - BEST PICTURE(Nominated)
Oscars - WRITING (Screenplay Based on Material from Another Medium)(Nominated)
BAFTAs - Film | Direction in 1985(Nominated)
BAFTAs - Film | Score For A Film in 1985(Nominated)
BAFTAs - Film | Special Visual Effects in 1985(Nominated)",34609720.0
A Nightmare on Elm Street,Johnny Depp,95.0,84.0,,0,0,,,117729618.0
No Small Affair,,57.0,35.0,,0,0,,,
Oh God! You Devil,,36.0,39.0,,0,0,,,
Night of the Comet,,79.0,58.0,,0,0,,,
Falling in Love,,54.0,63.0,,0,0,,,
Supergirl,,8.0,26.0,,0,0,,,
Caravan of Courage: An Ewok Adventure,,23.0,43.0,,0,0,,,
City Heat,,22.0,24.0,,0,0,,,38348988.0
The Cotton Club,,74.0,57.0,"Oscars - ART DIRECTION(Nominated)
Oscars - FILM EDITING(Nominated)
BAFTAs - Film | Costume Design in 1986(Won)
BAFTAs - Film | Sound in 1986(Nominated)",4,1,BAFTAs - Film | Costume Design in 1986(Won),"Oscars - ART DIRECTION(Nominated)
Oscars - FILM EDITING(Nominated)
BAFTAs - Film | Sound in 1986(Nominated)",25928721.0
Mass Appeal,,100.0,80.0,,0,0,,,
