title,genres,critic_score,audience_score,awards_all,nomination_count,award_count,awards_won,awards_nominated,worldwide_gross
s.o.b.,"Comedy,Drama",81%,64%,,0,0,,,
sharky's machine,"Action,Crime,Drama",83%,63%,Golden Globes - New Star Of The Year (Nominated),1,0,,Golden Globes - New Star Of The Year (Nominated),"$32,984,898"
silence of the north,Drama,,60%,,0,0,,,
so fine,Comedy,63%,31%,,0,0,,,
some kind of hero,"Crime,Drama,War",50%,33%,,0,0,,,"$20,400,486"
southern comfort,"Action,Thriller",,,,0,0,,,
stripes,"Comedy,War",88%,79%,,0,0,,,"$85,300,000"
student bodies,"Comedy,Horror,Mystery",33%,52%,,0,0,,,
the survivor,"Fantasy,Horror,Mystery",,,,0,0,,,
sweet sixteen,"Crime,Drama,Horror",97%,88%,,0,0,,,
take this job and shove it,Comedy,,50%,,0,0,,,
taps,Drama,68%,67%,Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated),1,0,,Golden Globes - Best Performance by an Actor in a Motion Picture - Drama (Nominated),"$35,856,053"
tattoo,"Drama,Horror,Thriller",,,,0,0,,,
they all laughed,"Comedy,Romance",50%,50%,,0,0,,,
thief,"Action,Crime,Drama",,,Golden Globes - Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television (Nominated),1,0,,Golden Globes - Best Performance by an Actor in a Limited Series or a Motion Picture Made for Television (Nominated),
this is elvis,"Biography,Documentary,Music",89%,88%,,0,0,,,
true confessions,"Crime,Drama",71%,53%,,0,0,,,
under the rainbow,Comedy,0%,48%,,0,0,,,"$18,826,490"
visiting hours,"Horror,Thriller",14%,25%,,0,0,,,
whose life is it anyway?,"Comedy,Drama",70%,79%,,0,0,,,
wolfen,"Horror,Thriller",77%,47%,,0,0,,,
zoot suit,"Drama,Musical",55%,74%,Golden Globes - Best Motion Picture - Musical or Comedy (Nominated),1,0,,Golden Globes - Best Motion Picture - Musical or Comedy (Nominated),
48 hrs.,"Action,Comedy,Crime",92%,69%,,0,0,,,
the aftermath,"Action,Horror,Sci-Fi",,,,0,0,,,
alone in the dark,"Drama,Horror,Thriller",1%,11%,,0,0,,,
annie,"Comedy,Drama,Family",49%,69%,"Oscars - ART DIRECTION (Nominated)
Oscars - MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score) (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy (Nominated)
Golden Globes - New Star Of The Year - Actress (Nominated)",5,0,,"Oscars - ART DIRECTION (Nominated)
Oscars - MUSIC (Original Song Score and Its Adaptation -or- Adaptation Score) (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy (Nominated)
Golden Globes - Best Performance by an Actress in a Motion Picture - Musical or Comedy (Nominated)
Golden Globes - New Star Of The Year - Actress (Nominated)","$139,829,625"
author! author!,"Comedy,Drama,Family",50%,48%,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated),1,0,,Golden Globes - Best Performance by an Actor in a Motion Picture - Musical or Comedy (Nominated),
barbarosa,"Comedy,Drama,Romance",100%,72%,,0,0,,,
basket case,"Comedy,Horror",77%,54%,,0,0,,,
the beast within,Horror,,,,0,0,,,
the beastmaster,"Action,Adventure,Fantasy",50%,54%,,0,0,,,
the best little whorehouse in texas,"Comedy,Musical",48%,68%,Oscars - ACTOR IN A SUPPORTING ROLE (Nominated),1,0,,Oscars - ACTOR IN A SUPPORTING ROLE (Nominated),"$69,701,637"
best seller,,69%,54%,,0,0,,,
bill cosby: himself,"Comedy,Documentary",67%,93%,,0,0,,,
