primaryTitle,originalTitle,genres,critic_score,audience_score
Gangs of New York,gangs of new york,"Crime,Drama",73%,81%
Gateway,gateway,"Drama,Romance",,
He Loved an Actress,stardust,"Comedy,Musical,Romance",77%,86%
The Last Stand,the last stand,"Drama,Music,Western",,
The Lone Ranger,the lone ranger,Western,31%,51%
Where the Buffalo Roam,where the buffalo roam,"Drama,Music,Western",19%,73%
For Love or Money,for love or money,"Comedy,Crime,Drama",,
The Green Hornet,the green hornet,"Adventure,Crime,Family",45%,43%
Gulliver's Travels,gulliver's travels,"Adventure,Animation,Comedy",,13%
Long Shot,long shot,"Drama,Romance",88%,84%
Made for Each Other,made for each other,"Comedy,Drama,Romance",,56%
The Man in the Iron Mask,the man in the iron mask,"Adventure,History,Romance",,
Nancy Drew and the Hidden Staircase,nancy drew and the hidden staircase,"Comedy,Crime,Family",,44%
Rio,rio,"Crime,Drama,Romance",72%,71%
South of the Border,south of the border,Western,54%,69%
The Star Maker,the star maker,"Biography,Comedy,Music",,
The Star Maker,the star maker,"Biography,Comedy,Music",75%,81%
The Women,the women,"Comedy,Drama",,
The Biscuit Eater,the biscuit eater,"Drama,Family",,100%
The Biscuit Eater,the biscuit eater,"Drama,Family",,48%
Claudine,claudine,,67%,91%
Fantasia,fantasia,"Animation,Family,Fantasy",95%,83%
Fingers,fingers,Drama,85%,69%
Law and Disorder,law and disorder,"Comedy,Crime,Thriller",40%,40%
Pinocchio,pinocchio,"Adventure,Animation,Comedy",0%,33%
Ski Patrol,ski patrol,"Adventure,Drama,War",,52%
Swiss Family Robinson,swiss family robinson,"Adventure,Drama,Family",,
Up in the Air,up in the air,"Comedy,Musical,Mystery",,12%
Citizen Kane,citizen kane,"Drama,Mystery",99%,90%
Dumbo,dumbo,"Adventure,Animation,Drama",95%,70%
Mr. & Mrs. Smith,mr. & mrs. smith,"Comedy,Romance",60%,58%
Public Enemies,public enemies,"Comedy,Crime,Drama",,44%
Unfinished Business,unfinished business,"Comedy,Musical,Romance",,
