primaryTitle,originalTitle,genres,critic_score,audience_score
Mafia Mamma,mafia mamma,"Action,Comedy,Crime",21%,67%
Sex & Drugs & Rock & Roll,sex & drugs & rock & roll,"Biography,Drama,Music",72%,66%
Adrift,adrift,Horror,70%,65%
Jesus Henry Christ,jesus henry christ,Comedy,22%,47%
Dumb Money,dumb money,"Biography,Comedy,Drama",84%,85%
American Casino,american casino,Documentary,73%,78%
Mr. Popper's Penguins,mr. popper's penguins,"Comedy,Family,Fantasy",47%,53%
Revenge of the Green Dragons,revenge of the green dragons,"Action,Crime,Drama",15%,30%
Winnebago Man,winnebago man,"Biography,Comedy,Documentary",90%,80%
Fingernails,fingernails,"Drama,Romance,Sci-Fi",60%,47%
Taken 2,taken 2,"Action,Crime,Thriller",22%,52%
Journey 2: The Mysterious Island,journey 2: the mysterious island,"Action,Adventure,Comedy",45%,59%
Spy Kids: Armageddon,spy kids: armageddon,"Action,Comedy,Family",54%,43%
Straight Outta Compton,straight outta compton,"Biography,Drama,History",89%,91%
City of Lies,city of lies,"Comedy,Romance",51%,83%
The Royal Treatment,the royal treatment,"Comedy,Family,Romance",33%,37%
Transformers: Dark of the Moon,transformers: dark of the moon,"Action,Adventure,Sci-Fi",35%,55%
Bitch Ass,bitch ass,"Action,Crime,Drama",68%,68%
Secret Headquarters,secret headquarters,"Action,Adventure,Comedy",45%,44%
Hoax,hoax,Crime,,
Happy Feet Two,happy feet two,"Adventure,Animation,Comedy",46%,60%
"Introducing, Selma Blair","introducing, selma blair",Documentary,100%,71%
Language Lessons,language lessons,"Comedy,Drama",96%,83%
Camp Hideout,camp hideout,"Comedy,Family",33%,70%
Infinite Storm,infinite storm,"Drama,Thriller",56%,55%
Just Wright,just wright,"Comedy,Romance,Sport",47%,61%
Vacation,vacation,Drama,,
Star Trek Into Darkness,star trek into darkness,"Action,Adventure,Sci-Fi",84%,89%
Ride Along,ride along,"Action,Comedy,Crime",17%,58%
Somewhere in Queens,somewhere in queens,"Comedy,Drama,Sport",90%,92%
Hollywood Stargirl,hollywood stargirl,"Comedy,Drama,Family",94%,74%
Game Night,game night,"Horror,Thriller",85%,78%
Riddick,riddick,"Action,Adventure,Sci-Fi",58%,56%
Bucky Larson: Born to Be a Star,bucky larson: born to be a star,Comedy,3%,25%
The Hangover Part II,the hangover part ii,Comedy,34%,52%
Hot Spot,hot spot,"Crime,Drama,Fantasy",,
Jeepers Creepers: Reborn,jeepers creepers: reborn,"Horror,Mystery,Thriller",0%,8%
The Best Exotic Marigold Hotel,the best exotic marigold hotel,"Comedy,Drama,Romance",78%,78%
Table 19,table 19,"Comedy,Drama,Romance",26%,41%
The Silencing,the silencing,"Drama,Horror,Thriller",20%,90%
Do You Believe?,do you believe?,Documentary,25%,83%
Kimi,kimi,"Crime,Drama,Mystery",92%,60%
12 Strong,12 strong,"Action,Drama,History",50%,62%
My Favorite Season,my favorite season,Drama,93%,80%
You Again,you again,"Comedy,Romance",19%,43%
Pet Sematary: Bloodlines,pet sematary: bloodlines,"Fantasy,Horror",22%,40%
A Good Person,a good person,Drama,57%,96%
Sharp Stick,sharp stick,Comedy,49%,37%
Fistful of Vengeance,fistful of vengeance,"Action,Crime,Drama",43%,66%
"I, Frankenstein","i, frankenstein","Action,Fantasy,Sci-Fi",5%,38%
Roswell,roswell,"Mystery,Sci-Fi",,56%
The Fabelmans,the fabelmans,Drama,92%,83%
Cocaine Bear,cocaine bear,"Comedy,Crime,Thriller",66%,71%
Family Switch,family switch,"Comedy,Family",43%,43%
The Breach,the breach,"Horror,Mystery",82%,26%
Asteroid City,asteroid city,"Comedy,Drama,Romance",76%,62%
Poor Things,poor things,"Comedy,Drama,Romance",92%,79%
Barney's Version,barney's version,"Comedy,Drama",77%,78%
Black Nativity,black nativity,"Drama,Family,Music",51%,51%
Cabin,cabin,Action,,
God Is a Bullet,god is a bullet,"Action,Crime,Horror",24%,56%
Hansel & Gretel: Witch Hunters,hansel & gretel: witch hunters,"Action,Fantasy,Horror",16%,53%
Arthur Christmas,arthur christmas,"Adventure,Animation,Comedy",92%,77%
Brick Mansions,brick mansions,"Action,Crime,Thriller",24%,47%
Big Miracle,big miracle,"Biography,Drama,Romance",74%,64%
A Jazzman's Blues,a jazzman's blues,"Drama,Mystery,Romance",65%,85%
Deadpool,deadpool,"Action,Comedy,Sci-Fi",85%,90%
Another Year,another year,"Comedy,Drama",92%,74%
Single All the Way,single all the way,"Comedy,Drama,Romance",68%,67%
A Chiara,a chiara,Drama,91%,56%
Mack & Rita,mack & rita,"Comedy,Fantasy",23%,48%
The Details,the details,"Comedy,Drama",47%,34%
The Apparition,the apparition,"Horror,Thriller",3%,24%
Trolls Band Together,trolls band together,"Adventure,Animation,Comedy",63%,92%
Vivo,vivo,Documentary,86%,73%
Cha Cha Real Smooth,cha cha real smooth,"Comedy,Drama",85%,61%
Don't Look Back,don't look back,"Horror,Thriller",,22%
Charlie St. Cloud,charlie st. cloud,"Drama,Fantasy,Romance",28%,60%
Ruins,ruins,Drama,,
Battleship,battleship,"Action,Adventure,Sci-Fi",34%,54%
Empire of Light,empire of light,"Drama,Romance",45%,74%
This Must Be the Place,this must be the place,"Adventure,Comedy,Drama",66%,58%
A Day to Die,a day to die,"Action,Crime,Drama",,87%
Martha Marcy May Marlene,martha marcy may marlene,"Drama,Mystery,Thriller",90%,71%
Salmon Fishing in the Yemen,salmon fishing in the yemen,"Comedy,Drama,Romance",68%,64%
Father Stu,father stu,"Biography,Drama",43%,95%
Great Directors,great directors,Documentary,66%,43%
The Son,the son,Drama,29%,59%
The Son,the son,Drama,88%,86%
Rise of the Guardians,rise of the guardians,"Action,Adventure,Animation",74%,80%
Deliver Us,deliver us,Horror,83%,
Paint,paint,"Comedy,Drama",83%,87%
Shortcomings,shortcomings,"Comedy,Drama,Romance",,
Killer Elite,killer elite,"Action,Crime,Thriller",28%,42%
Winnie the Pooh,winnie the pooh,"Adventure,Animation,Comedy",,
No One Will Save You,no one will save you,"Horror,Mystery,Sci-Fi",82%,56%
Roadrunner: A Film About Anthony Bourdain,roadrunner: a film about anthony bourdain,Documentary,91%,94%
Infinite,infinite,,17%,34%
Monsters University,monsters university,"Adventure,Animation,Comedy",80%,81%
The Help,the help,Drama,76%,89%
National Champions,national champions,"Drama,Sport",66%,79%
The Boy,the boy,"Drama,Sci-Fi",31%,38%
Goon,goon,"Comedy,Drama,Sport",81%,71%
Fortress: Sniper's Eye,fortress: sniper's eye,"Action,Thriller",0%,58%
The Haunting in Connecticut 2: Ghosts of Georgia,the haunting in connecticut 2: ghosts of georgia,"Drama,Horror,Mystery",19%,44%
The Conjuring,the conjuring,"Horror,Mystery,Thriller",86%,83%
God's Not Dead: We the People,god's not dead: we the people,Drama,,100%
The Next Three Days,the next three days,"Action,Crime,Drama",50%,66%
Hunting Party,hunting party,"Action,Horror,Sci-Fi",,
Almighty Zeus,almighty zeus,Action,,
Down Low,down low,Comedy,67%,
Spin Me Round,spin me round,"Comedy,Romance",47%,33%
Surviving Progress,surviving progress,Documentary,71%,79%
Letters to God,letters to god,Drama,25%,75%
Butcher's Crossing,butcher's crossing,"Adventure,Drama,Western",74%,47%
Indiana Jones and the Dial of Destiny,indiana jones and the dial of destiny,"Action,Adventure,Sci-Fi",70%,88%
The Odd Life of Timothy Green,the odd life of timothy green,"Comedy,Drama,Family",36%,67%
All Is Bright,all is bright,"Comedy,Drama",48%,23%
Desperation Road,desperation road,"Crime,Drama,Thriller",60%,77%
The Venture Bros.: Radiant Is the Blood of the Baboon Heart,the venture bros.: radiant is the blood of the baboon heart,Animation,92%,
Aqua Teen Forever: Plantasm,aqua teen forever: plantasm,"Animation,Comedy",100%,76%
"Big Mommas: Like Father, Like Son","big mommas: like father, like son","Action,Comedy,Crime",5%,58%
Enola Holmes 2,enola holmes 2,"Action,Adventure,Crime",93%,79%
Decoding Annie Parker,decoding annie parker,Drama,56%,42%
I Am Number Four,i am number four,"Action,Adventure,Sci-Fi",33%,57%
Cat Person,cat person,"Comedy,Drama,Mystery",46%,46%
Traffik,traffik,Thriller,,80%
"Lyle, Lyle, Crocodile","lyle, lyle, crocodile","Adventure,Comedy,Family",71%,93%
Burning,burning,Documentary,,
Ride the Eagle,ride the eagle,"Comedy,Drama",84%,67%
Cinema Verite,cinema verite,Documentary,61%,60%
Better Nate Than Ever,better nate than ever,"Comedy,Drama,Family",83%,75%
MacGruber,macgruber,"Action,Comedy",47%,35%
Max Steel,max steel,"Action,Adventure,Fantasy",0%,48%
The Princess Switch 3,the princess switch 3: romancing the star,"Comedy,Drama,Family",53%,41%
Bridget Jones's Baby,bridget jones's baby,"Comedy,Drama,Romance",78%,65%
Roommate,roommate,"Drama,Thriller",,
Show Me the Father,show me the father,"Documentary,Drama",,97%
One True Loves,one true loves,"Comedy,Drama,Romance",29%,36%
Aquaman,aquaman,"Action,Adventure,Fantasy",65%,72%
Cedar Rapids,cedar rapids,Comedy,86%,59%
Hyde Park on Hudson,hyde park on hudson,"Biography,Comedy,Drama",37%,31%
The Art of Racing in the Rain,the art of racing in the rain,"Comedy,Drama,Romance",45%,96%
Attack the Block,attack the block,"Action,Adventure,Comedy",91%,75%
Killing Season,killing season,"Action,Drama,Thriller",10%,29%
Catfish,catfish,Comedy,80%,71%
Manodrome,manodrome,"Drama,Thriller",49%,27%
The Munsters,the munsters,"Comedy,Family,Fantasy",54%,35%
Not Okay,not okay,"Comedy,Drama,Thriller",71%,60%
You People,you people,"Comedy,Romance",,
The Retirement Plan,the retirement plan,"Action,Comedy,Crime",60%,41%
Carbon Nation,carbon nation,"Documentary,Family",40%,76%
I Am Love,i am love,"Drama,Family",81%,68%
8: The Mormon Proposition,8: the mormon proposition,Documentary,65%,72%
The Holdovers,the holdovers,"Comedy,Drama",97%,92%
The Jesus Music,the jesus music,Documentary,63%,97%
The Greatest Showman,the greatest showman,"Biography,Drama,Musical",57%,86%
Tamara Drewe,tamara drewe,"Comedy,Drama,Romance",65%,42%
The Orphanage,the orphanage,"Horror,Thriller",87%,86%
Collaborator,collaborator,Thriller,73%,61%
Miranda's Victim,miranda's victim,"Crime,Drama",82%,91%
Trash Humpers,trash humpers,"Comedy,Drama,Horror",60%,44%
Guillermo del Toro's Pinocchio,guillermo del toro's pinocchio,"Adventure,Animation,Drama",96%,90%
Triple Frontier,triple frontier,"Action,Thriller",70%,58%
Dead for a Dollar,dead for a dollar,"Action,Drama,Western",,
Something in the Dirt,something in the dirt,"Comedy,Horror,Mystery",90%,47%
Booksmart,booksmart,Comedy,96%,77%
Central Intelligence,central intelligence,"Action,Comedy,Crime",71%,62%
The Lego Movie,the lego movie,"Action,Adventure,Animation",96%,87%
The Space Between Us,the space between us,Drama,16%,55%
I Saw the Light,i saw the light,"Biography,Drama,Music",19%,37%
The Iceman,the iceman,"Biography,Crime,Drama",,
Hide & Seek,hide & seek,"Drama,Horror,Thriller",,0%
Cassandro,cassandro,"Biography,Drama,Sport",91%,74%
Underworld: Awakening,underworld: awakening,"Action,Fantasy,Thriller",25%,62%
The Paperboy,the paperboy,"Crime,Drama,Mystery",,33%
Cold Weather,cold weather,"Comedy,Drama,Mystery",77%,52%
Consecration,consecration,"Horror,Thriller",41%,32%
Horrible Bosses,horrible bosses,"Comedy,Crime",69%,70%
The Disenchanted,the disenchanted,"Crime,Drama",100%,42%
Videocracy,videocracy,Documentary,67%,39%
Bad Boys for Life,bad boys for life,"Action,Comedy,Crime",75%,96%
Drive Angry,drive angry,"Action,Comedy,Fantasy",47%,37%
"Hugh Hefner: Playboy, Activist and Rebel","hugh hefner: playboy, activist and rebel","Biography,Documentary",61%,69%
Road to Nowhere,road to nowhere,"Crime,Mystery,Romance",,
The King's Speech,the king's speech,"Biography,Drama,History",94%,92%
Jungleland,jungleland,"Adventure,Drama,Thriller",74%,47%
Death of Me,death of me,Drama,31%,23%
Behind the Burly Q,behind the burly q,"Documentary,History",77%,64%
Rampart,rampart,Documentary,,
Witness Protection,witness protection,"Comedy,Drama",,
Sherlock Holmes: A Game of Shadows,sherlock holmes: a game of shadows,"Action,Adventure,Mystery",60%,77%
Walking with the Enemy,walking with the enemy,"Action,Drama,History",44%,59%
The Lottery,the lottery,"Documentary,Drama,News",,
The Lottery,the lottery,"Documentary,Drama,News",,46%
Sweetgrass,sweetgrass,"Adventure,Documentary,Western",97%,65%
The Host,the host,"Action,Adventure,Drama",10%,50%
The Host,the host,"Action,Adventure,Drama",93%,72%
Barbie,barbie,"Adventure,Comedy,Fantasy",88%,83%
The Oogieloves in the Big Balloon Adventure,the oogieloves in the big balloon adventure,"Adventure,Family,Fantasy",32%,62%
Summering,summering,Drama,33%,40%
Blonde,blonde,Action,42%,36%
The Vatican Tapes,the vatican tapes,"Horror,Thriller",20%,58%
Murder Mystery 2,murder mystery 2,"Action,Adventure,Comedy",45%,46%
Magic Camp,magic camp,"Documentary,Family",100%,75%
Emily the Criminal,emily the criminal,"Crime,Drama,Mystery",94%,79%
Palm Trees and Power Lines,palm trees and power lines,Drama,90%,77%
Pain Hustlers,pain hustlers,"Crime,Drama",23%,64%
The Dig,the dig,Adventure,75%,82%
Exodus: Gods and Kings,exodus: gods and kings,"Action,Adventure,Drama",31%,35%
Daddy's Home,daddy's home,"Comedy,Family",,20%
The Curse of Bridge Hollow,the curse of bridge hollow,"Adventure,Comedy,Family",46%,53%
Biosphere,biosphere,"Comedy,Drama,Fantasy",80%,62%
Byzantium,byzantium,"Drama,Fantasy,Horror",66%,51%
Beginners,beginners,"Comedy,Drama,Romance",86%,77%
Battle of the Year,battle of the year,"Drama,Music",6%,49%
Good Mourning,good mourning,Comedy,0%,57%
Scalpel,scalpel,"Horror,Thriller",,33%
Somebody I Used to Know,somebody i used to know,"Comedy,Romance",69%,60%
Raymond & Ray,raymond & ray,"Comedy,Drama",48%,55%
After Everything,after everything,"Drama,Romance",84%,71%
Marcel the Shell with Shoes On,marcel the shell with shoes on,"Animation,Comedy,Drama",98%,90%
Rider,rider,"Action,Drama",,
Beyond the Black Rainbow,beyond the black rainbow,"Horror,Mystery,Sci-Fi",61%,53%
Master Gardener,master gardener,"Drama,Mystery,Thriller",71%,55%
Tiger Eyes,tiger eyes,Documentary,63%,53%
Captain Phillips,captain phillips,"Action,Biography,Crime",93%,89%
Vacation Friends 2,vacation friends 2,"Action,Adventure,Comedy",19%,39%
Adalynn,adalynn,"Drama,Horror,Mystery",80%,67%
The Divide,the divide,"Drama,Horror,Sci-Fi",75%,
Paranormal Activity 2,paranormal activity 2,"Horror,Mystery",57%,48%
The Mortal Instruments: City of Bones,the mortal instruments: city of bones,"Action,Adventure,Fantasy",13%,58%
Justin Bieber: Our World,justin bieber: our world,"Documentary,Music",57%,86%
My Name Is Nobody,my name is nobody,Drama,100%,84%
Corrective Measures,corrective measures,"Action,Sci-Fi",60%,27%
The Taking,the taking,Documentary,,
Blair Witch,blair witch,"Horror,Mystery,Thriller",38%,31%
The Loft,the loft,"Comedy,Drama,Fantasy",14%,37%
127 Hours,127 hours,"Biography,Drama",93%,85%
Carancho,carancho,"Crime,Drama,Romance",88%,72%
Jules,jules,"Comedy,Drama,Sci-Fi",85%,90%
The Snowman,the snowman,Documentary,,
The Snowman,the snowman,Documentary,80%,91%
The Heist,the heist,"Adult,Crime",,
Divinity,divinity,"Sci-Fi,Thriller",59%,63%
Judy Moody and the Not Bummer Summer,judy moody and the not bummer summer,"Comedy,Family",21%,41%
Premium Rush,premium rush,"Action,Thriller",75%,60%
Waitress: The Musical,waitress: the musical,"Comedy,Drama,Musical",100%,98%
Teen Wolf: The Movie,teen wolf: the movie,"Action,Drama,Fantasy",32%,65%
12th & Delaware,12th & delaware,"Documentary,Drama",,88%
Another Earth,another earth,"Drama,Mystery,Romance",66%,66%
Adaptation,adaptation,Thriller,,
Happiness for Beginners,happiness for beginners,"Comedy,Drama,Romance",33%,53%
The Last Days of American Crime,the last days of american crime,"Action,Crime,Drama",0%,22%
Country Strong,country strong,"Drama,Music",22%,53%
Mary Queen of Scots,mary queen of scots,"Biography,Drama,History",62%,41%
Restrepo,restrepo,"Biography,Documentary,History",96%,88%
Zombieland: Double Tap,zombieland: double tap,"Action,Comedy,Horror",68%,88%
The Master,the master,"Drama,History",,
Stonewall Uprising,stonewall uprising,"Documentary,History",84%,77%
Dolphin Tale,dolphin tale,"Drama,Family",81%,80%
Just Go with It,just go with it,"Comedy,Romance",19%,59%
RiffTrax: Star Wars: The Rise of Skywalker,star wars: the rise of skywalker,"Comedy,Sci-Fi",51%,86%
Knock at the Cabin,knock at the cabin,"Horror,Mystery,Thriller",67%,63%
Joan Rivers: A Piece of Work,joan rivers: a piece of work,"Biography,Comedy,Documentary",93%,82%
The Tillman Story,the tillman story,"Biography,Documentary,Mystery",94%,91%
Man on a Ledge,man on a ledge,"Action,Crime,Thriller",31%,52%
The Humbling,the humbling,"Comedy,Drama,Romance",53%,28%
The Girl with the Dragon Tattoo,the girl with the dragon tattoo,"Crime,Drama,Mystery",86%,86%
The Girl with the Dragon Tattoo,the girl with the dragon tattoo,"Crime,Drama,Mystery",85%,87%
It Lives Inside,it lives inside,"Drama,Horror,Thriller",,
War Horse,war horse,"Adventure,Drama,War",75%,74%
Celine: Through the Eyes of the World,celine: through the eyes of the world,"Documentary,Music",33%,78%
A Dangerous Method,a dangerous method,"Biography,Drama,Romance",79%,50%
Mortal Engines,mortal engines,"Action,Adventure,Fantasy",26%,48%
The Skeleton Twins,the skeleton twins,"Comedy,Drama,Romance",86%,69%
Boycott,boycott,Documentary,,75%
Countdown to Zero,countdown to zero,Documentary,80%,72%
Darby and the Dead,darby and the dead,"Comedy,Drama,Fantasy",54%,74%
You Hurt My Feelings,you hurt my feelings,"Comedy,Drama,Romance",,100%
The Dilemma,the dilemma,"Comedy,Drama",24%,29%
Elemental,elemental,"Adventure,Animation,Comedy",100%,60%
Helen's Dead,helen's dead,"Comedy,Drama,Mystery",17%,
Chasing Ice,chasing ice,"Biography,Documentary",96%,85%
Repeaters,repeaters,"Action,Crime,Drama",20%,33%
King's Man,king's man,Drama,,
House at the End of the Street,house at the end of the street,"Drama,Horror,Mystery",12%,41%
The Locksmith,the locksmith,"Action,Crime,Mystery",,
Larry Crowne,larry crowne,"Comedy,Drama,Romance",37%,41%
G.I. Joe: Retaliation,g.i. joe: retaliation,"Action,Adventure,Sci-Fi",29%,48%
Rare Objects,rare objects,Drama,40%,69%
Wrong Place,wrong place,"Action,Crime,Thriller",0%,53%
Diary of a Wimpy Kid: Rodrick Rules,diary of a wimpy kid: rodrick rules,"Animation,Comedy,Drama",50%,47%
What to Expect When You're Expecting,what to expect when you're expecting,"Comedy,Drama,Romance",23%,47%
Maleficent,maleficent,"Action,Adventure,Drama",54%,70%
The Artist,the artist,"Action,Adventure,Fantasy",95%,87%
Mixtape,mixtape,"Comedy,Drama,Family",100%,78%
Exit Through the Gift Shop,exit through the gift shop,"Comedy,Crime,Documentary",96%,91%
Warm Bodies,warm bodies,"Comedy,Horror,Romance",81%,73%
"Jeff, Who Lives at Home","jeff, who lives at home","Comedy,Drama",77%,62%
Isle of Dogs,isle of dogs,"Action,Crime,Thriller",,11%
The Commuter,the commuter,"Action,Mystery,Thriller",55%,40%
Act of Valor,act of valor,"Action,Adventure,Thriller",28%,72%
Take This Waltz,take this waltz,"Comedy,Drama",79%,58%
Chase,chase,"Action,Crime,Drama",,
Norm of the North,norm of the north,"Adventure,Animation,Comedy",6%,22%
To the Wonder,to the wonder,"Drama,Romance",47%,37%
Fast Five,fast five,"Action,Crime,Thriller",78%,83%
Soul Surfer,soul surfer,"Biography,Drama,Family",45%,75%
This Means War,this means war,"Action,Comedy,Romance",26%,56%
The Big Short,the big short,"Biography,Comedy,Drama",89%,88%
The Tiger Rising,the tiger rising,Family,18%,73%
Phil Ochs: There But for Fortune,phil ochs: there but for fortune,"Biography,Documentary,History",97%,78%
World's Best,world's best,"Comedy,Family,Music",100%,81%
Two Days in New York,2 days in new york,"Comedy,Drama,Romance",67%,42%
Summer Hours,summer hours,Drama,94%,70%
Bad Batch,bad batch,"Comedy,Drama",,
A Good Day to Die Hard,a good day to die hard,"Action,Thriller",15%,40%
Tall Girl 2,tall girl 2,"Comedy,Drama,Family",63%,27%
Quasi,quasi,"Comedy,Drama",41%,60%
Rifftrax: Avengers: Endgame,avengers: endgame,"Action,Comedy,Sci-Fi",94%,90%
Abraham Lincoln: Vampire Hunter,abraham lincoln: vampire hunter,"Action,Fantasy,Horror",34%,50%
Rifftrax: Yor - The Hunter from the Future,"yor, the hunter from the future",Comedy,14%,47%
There's Something Wrong with the Children,there's something wrong with the children,"Horror,Mystery",62%,26%
"Beats, Rhymes & Life: The Travels of A Tribe Called Quest","beats, rhymes & life: the travels of a tribe called quest","Documentary,Music",90%,90%
Margin Call,margin call,"Drama,Thriller",87%,74%
Choice,choice,Thriller,,
Alvin and the Chipmunks: Chipwrecked,alvin and the chipmunks: chipwrecked,"Adventure,Comedy,Family",10%,51%
Fatale,fatale,Thriller,45%,88%
WE,we,Action,,
J. Edgar,j. edgar,"Biography,Drama,Romance",43%,44%
One Day,you yi tian,"Drama,Romance,Sci-Fi",42%,
Gone with the Pope,gone with the pope,"Crime,Drama",67%,48%
Jupiter Ascending,jupiter ascending,"Action,Adventure,Sci-Fi",28%,38%
I'm in Love with a Church Girl,i'm in love with a church girl,"Crime,Drama,Romance",10%,64%
Murder Mystery,murder mystery,"Crime,Mystery,Romance",44%,46%
The Last Witch Hunter,the last witch hunter,"Action,Adventure,Fantasy",18%,44%
Affair,affair,Horror,,
A Wrinkle in Time,a wrinkle in time,"Adventure,Drama,Family",,40%
Bleed for This,bleed for this,"Biography,Drama,Sport",71%,70%
Think Like a Man,think like a man,"Comedy,Romance",54%,79%
30 Minutes or Less,30 minutes or less,"Action,Comedy,Crime",45%,40%
War Pony,war pony,"Crime,Drama",93%,87%
Final Destination 5,final destination 5,"Horror,Thriller",63%,53%
Oz the Great and Powerful,oz the great and powerful,"Adventure,Family,Fantasy",57%,56%
ParaNorman,paranorman,"Adventure,Animation,Comedy",89%,72%
Something from Tiffany's,something from tiffany's,"Comedy,Family,Romance",70%,60%
Unlocked,unlocked,Drama,,
Young Adult,young adult,"Comedy,Drama",80%,49%
Magic Mike's Last Dance,magic mike's last dance,"Comedy,Drama",48%,73%
Independence Day: Resurgence,independence day: resurgence,"Action,Adventure,Sci-Fi",29%,30%
Chasing Mavericks,chasing mavericks,"Biography,Drama,Sport",33%,70%
The Seagull,the seagull,Drama,,33%
Avatar: The Way of Water,avatar: the way of water,"Action,Adventure,Fantasy",76%,92%
Courageous,courageous,Drama,36%,86%
Saving Christmas,saving christmas,"Action,Adventure,Comedy",0%,30%
Edge of Tomorrow,edge of tomorrow,"Action,Adventure,Sci-Fi",91%,90%
Creed,creed,Horror,95%,89%
Friends with Benefits,friends with benefits,"Comedy,Romance",69%,65%
Bloodshot,bloodshot,"Action,Adventure,Sci-Fi",,
Johnny English Reborn,johnny english reborn,"Action,Adventure,Comedy",38%,45%
Violet & Daisy,violet & daisy,"Action,Comedy,Crime",22%,35%
About Time,about time,Drama,71%,82%
Craving,craving,Drama,80%,85%
Bank Shot,bank shot,Comedy,,28%
In Time,in time,"Action,Sci-Fi,Thriller",37%,51%
The Man from U.N.C.L.E.,the man from u.n.c.l.e.,"Action,Adventure,Comedy",68%,73%
Hobo with a Shotgun,hobo with a shotgun,"Action,Comedy,Crime",65%,57%
Angels in Stardust,angels in stardust,"Comedy,Drama",22%,39%
Jumping the Broom,jumping the broom,"Comedy,Drama",57%,58%
Rifftrax: Solo: A Star Wars Story,solo: a star wars story,"Action,Comedy,Sci-Fi",69%,63%
Your Lucky Day,your lucky day,Thriller,86%,60%
The Family Plan,the family plan,"Action,Comedy",25%,61%
The Art of Getting By,the art of getting by,"Comedy,Drama,Family",20%,46%
Open Season 3,open season 3,"Adventure,Animation,Comedy",,30%
How to Train Your Dragon 2,how to train your dragon 2,"Action,Adventure,Animation",92%,90%
Wrath of the Titans,wrath of the titans,"Action,Adventure,Fantasy",,50%
Million Dollar Arm,million dollar arm,"Biography,Drama,Family",65%,68%
Here Comes the Boom,here comes the boom,"Action,Comedy,Sport",42%,65%
Honor Society,honor society,"Comedy,Romance",86%,78%
Super 8,super 8,"Action,Sci-Fi,Thriller",81%,75%
Wire Room,wire room,"Action,Thriller",,91%
My Week with Marilyn,my week with marilyn,"Biography,Drama",83%,71%
The Age of Adaline,the age of adaline,"Drama,Fantasy,Romance",55%,67%
Master Qi and the Monkey King,master qi and the monkey king,Documentary,,
Colombiana,colombiana,"Action,Crime,Drama",28%,67%
Dear Zoe,dear zoe,"Drama,Mystery,Romance",71%,87%
Freeheld,freeheld,"Biography,Drama,Romance",,84%
The Perks of Being a Wallflower,the perks of being a wallflower,Drama,85%,89%
Grudge Match,grudge match,"Comedy,Drama,Sport",31%,46%
Polisse,polisse,"Crime,Drama",86%,79%
Fun Size,fun size,"Adventure,Comedy,Crime",25%,47%
Summerland,summerland,Horror,,
Vampires Suck,vampires suck,"Comedy,Horror",4%,30%
City of God,city of god,Drama,91%,97%
The DUFF,the duff,"Comedy,Romance",73%,66%
Damsels in Distress,damsels in distress,"Comedy,Drama,Romance",76%,39%
Ice Age: Continental Drift,ice age: continental drift,"Adventure,Animation,Comedy",37%,61%
For Queen and Country,for queen and country,Documentary,29%,28%
Now You See Me,now you see me,"Crime,Mystery,Thriller",50%,70%
Jamesy Boy,jamesy boy,"Biography,Crime,Drama",26%,58%
Keyhole,keyhole,"Drama,Thriller",70%,39%
Take Shelter,take shelter,"Drama,Thriller",92%,81%
Divergent,divergent,"Comedy,Drama",41%,69%
Trolls,trolls,"Adventure,Animation,Comedy",76%,67%
360,360,"Crime,Drama,Mystery",,
Vampire Academy,vampire academy,"Action,Comedy,Drama",17%,56%
Despicable Me 2,despicable me 2,"Adventure,Animation,Comedy",75%,85%
Attenberg,attenberg,"Comedy,Drama,Romance",78%,53%
Before I Fall,before i fall,"Drama,Fantasy,Mystery",64%,57%
Planes,planes,"Adventure,Animation,Comedy",26%,49%
Guest,guest,Documentary,,
The Bad Guys,the bad guys,,,
The Guilt Trip,the guilt trip,"Comedy,Drama",37%,39%
Die in a Gunfight,die in a gunfight,"Action,Comedy,Crime",16%,62%
"Alexander and the Terrible, Horrible, No Good, Very Bad Day","alexander and the terrible, horrible, no good, very bad day","Comedy,Drama,Family",63%,58%
Peeples,peeples,"Comedy,Romance",40%,49%
The Beanie Bubble,the beanie bubble,"Comedy,Drama",47%,56%
Sausage Party,sausage party,"Adventure,Animation,Comedy",82%,50%
Justin Bieber: Never Say Never,justin bieber: never say never,"Documentary,Music",66%,65%
The Equalizer 3,the equalizer 3,"Action,Crime,Thriller",76%,94%
Fightville,fightville,"Documentary,Sport",61%,67%
Polar Bear,polar bear,Documentary,74%,67%
Senior Year,senior year,Sport,23%,51%
State of Emergency,state of emergency,"Horror,Sci-Fi,Thriller",,43%
Chronicle,chronicle,"Adventure,Drama,Sci-Fi",85%,72%
Snowpiercer,snowpiercer,"Action,Sci-Fi,Thriller",94%,72%
Lovely Molly,lovely molly,"Drama,Horror",47%,32%
Weird: The Al Yankovic Story,weird: the al yankovic story,"Action,Biography,Comedy",84%,80%
Lola Versus,lola versus,Comedy,36%,31%
Sound of Silence,sound of silence,Drama,,
Office Christmas Party,office christmas party,Comedy,40%,41%
Alex Cross,alex cross,"Action,Crime,Mystery",11%,47%
Triple 9,triple 9,"Action,Crime,Drama",55%,41%
The Bay,the bay,"Horror,Sci-Fi,Thriller",76%,43%
Piranha 3DD,piranha 3dd,"Comedy,Horror,Sci-Fi",11%,22%
The Spectacular Now,the spectacular now,"Drama,Romance",91%,76%
